"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Aiyda","Qiraji Lord's Insignia","ffffffff","2","White","1","https://classicdb.ch/?item=21229","2018.02.11"
"Aiyda","Guide: Aspect of the Hawk VII","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21307","2017.12.29"
"Aiyda","Head of Nefarian","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19003","2017.10.08"
"Aiyda","Ancient Qiraji Artifact","ffffffff","1","White","1","https://classicdb.ch/?item=21230","2018.02.11"
"Aiyda","Smooth Cloak","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3972","2017.12.26"
"Aiyda","Guide: Multi-Shot V","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21304","2017.12.26"
"Aiyda","Dark Iron Ore","ffffffff","24","White","1","https://classicdb.ch/?item=11370","2017.10.08"
"Aiyda","Blue Qiraji Resonating Crystal","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21218","2018.01.25"
"Aiyda","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2018.01.30"
"Aiyda","Dense Stone","ffffffff","1","White","1","https://classicdb.ch/?item=12365","2018.01.30"
"Aiyda","Ancient Qiraji Artifact","ffffffff","7","White","1","https://classicdb.ch/?item=21230","2018.01.25"
"Aiyda","Ancient Qiraji Artifact","ffffffff","1","White","1","https://classicdb.ch/?item=21230","2018.01.04"
"Aiyda","Ancient Qiraji Artifact","ffffffff","5","White","1","https://classicdb.ch/?item=21230","2018.01.18"
"Aiyda","Band of Jin","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19925","2018.01.30"
"Aiyda","Thorium Ore","ffffffff","1","White","1","https://classicdb.ch/?item=10620","2018.01.30"
"Aiyda","Dragonstalker's Spaulders","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16937","2017.12.14"
"Aiyda","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2017.11.16"
"Aiyda","Roasted Quail","ffffffff","7","White","1","https://classicdb.ch/?item=8952","2018.02.15"
"Aiyda","Dragonstalker's Greaves","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16941","2017.11.30"
"Aiyda","Qiraji Lord's Insignia","ffffffff","3","White","1","https://classicdb.ch/?item=21229","2018.01.18"
"Aiyda","Evil Bat Eye","ffffffff","1","White","1","https://classicdb.ch/?item=11404","2018.01.30"
"Aiyda","Sayge's Fortune #5","ffffffff","1","White","1","https://classicdb.ch/?item=19240","2018.02.08"
"Aiyda","Qiraji Lord's Insignia","ffffffff","3","White","1","https://classicdb.ch/?item=21229","2018.01.25"
"Aiyda","Roasted Quail","ffffffff","3","White","1","https://classicdb.ch/?item=8952","2018.01.11"
"Aiyda","Dark Iron Ore","ffffffff","6","White","1","https://classicdb.ch/?item=11370","2017.10.08"
"Aiyda","Heartstriker","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19350","2018.01.11"
"Aiyda","Guide: Serpent Sting IX","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21306","2017.12.29"
"Aiyda","Roasted Quail","ffffffff","3","White","1","https://classicdb.ch/?item=8952","2017.12.28"
"Aiyda","Roasted Quail","ffffffff","10","White","1","https://classicdb.ch/?item=8952","2017.11.23"
"Aiyda","Dragonstalker's Belt","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16936","2017.12.28"
