"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Alfi","Medallion of Steadfast Might","ffa335ee","1","Epic","4","https://classicdb.ch/?item=17065","2017.12.28"
"Alfi","Dragon's Blood Cape","ffa335ee","1","Epic","4","https://classicdb.ch/?item=17107","2018.01.14"
"Alfi","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2018.02.22"
"Alfi","Cenarion Vestments","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16833","2018.01.14"
"Alfi","Cenarion Leggings","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16835","2018.02.08"
"Alfi","Cenarion Boots","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16829","2018.01.14"
"Alfi","Cenarion Spaulders","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16836","2017.12.28"
"Alfi","Book of Healing Touch XI","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21294","2018.02.09"
"Alfi","Eskhandar's Right Claw","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18203","2017.12.21"
"Alfi","Southwind Helm","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21455","2018.02.09"
"Alfi","Eskhandar's Collar","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18205","2017.11.26"
"Alfi","Cenarion Helm","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16834","2018.02.08"
"Alfi","Essence of the Pure Flame","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18815","2017.12.21"
"Alfi","Wicked Claw","ffffffff","1","White","1","https://classicdb.ch/?item=8146","2017.12.21"
