"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Amdog","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.10.10"
"Amdog","Overlinked Chain Shoulderpads","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4006","2017.09.23"
"Amdog","Light Plate Chestpiece","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=8080","2017.09.20"
"Amdog","Overlord's Embrace","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19888","2017.10.06"
"Amdog","Coal","ffffffff","1","White","1","https://classicdb.ch/?item=3857","2017.09.23"
"Amdog","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2017.10.06"
"Amdog","Large Bat Fang","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=11403","2017.09.29"
"Amdog","Breastplate of Might","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16865","2017.09.17"
"Amdog","Scroll of Strength III","ffffffff","1","White","1","https://classicdb.ch/?item=4426","2017.09.23"
"Amdog","Sayge's Fortune #8","ffffffff","1","White","1","https://classicdb.ch/?item=19243","2017.10.10"
"Amdog","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.09.19"
"Amdog","Runecloth","ffffffff","2","White","1","https://classicdb.ch/?item=14047","2017.09.20"
"Amdog","Whetted Claymore","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4018","2017.09.20"
"Amdog","The Eye of Hakkar","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19856","2017.10.06"
"Amdog","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2017.10.10"
"Amdog","Gauntlets of Wrath","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16964","2017.10.12"
"Amdog","Primal Hakkari Kossack","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19723","2017.10.02"
"Amdog","Primal Hakkari Aegis","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19724","2017.10.02"
"Amdog","Channeler's Head","ffffffff","1","White","1","https://classicdb.ch/?item=19881","2017.09.19"
"Amdog","Sayge's Fortune #28","ffffffff","1","White","1","https://classicdb.ch/?item=19453","2017.10.05"
"Amdog","Evil Bat Eye","ffffffff","1","White","1","https://classicdb.ch/?item=11404","2017.09.19"
"Amdog","Legguards of the Fallen Crusader","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19402","2017.10.05"
"Amdog","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2017.10.13"
"Amdog","Forked Tongue","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=6444","2017.10.06"
"Amdog","Legplates of Wrath","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16962","2017.09.17"
"Amdog","Pauldrons of Might","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16868","2017.10.15"
"Amdog","Gurubashi Dwarf Destroyer","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19853","2017.10.10"
"Amdog","Legplates of Might","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16867","2017.10.22"
"Amdog","Runecloth","ffffffff","6","White","1","https://classicdb.ch/?item=14047","2017.09.23"
"Amdog","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2017.10.12"
"Amdog","Burning Pitch","ff9d9d9d","3","Grey","0","https://classicdb.ch/?item=4787","2017.09.23"
"Amdog","Scroll of Intellect IV","ffffffff","1","White","1","https://classicdb.ch/?item=10308","2017.10.13"
"Amdog","Superior Mana Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13443","2017.09.23"
"Amdog","Lifeless Stone","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4784","2017.10.01"
"Amdog","Nat Pagle's Broken Reel","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19947","2017.10.10"
"Amdog","Deathbringer","ffa335ee","1","Epic","4","https://classicdb.ch/?item=17068","2017.10.12"
"Amdog","Drillborer Disk","ffa335ee","1","Epic","4","https://classicdb.ch/?item=17066","2017.09.24"
"Amdog","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.10.06"
"Amdog","Dark Iron Residue","ffffffff","2","White","1","https://classicdb.ch/?item=18945","2017.09.23"
