"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Aydda","Abyssal Cloth Amice of Sorcery","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20686","2017.09.18"
"Aydda","Witherbark Coin","ff1eff00","1","Green","2","https://classicdb.ch/?item=19703","2018.01.05"
"Aydda","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2017.10.19"
"Aydda","Dripping Spider Mandible","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=4585","2017.10.06"
"Aydda","Qiraji Ornate Hilt","ffa335ee","1","Epic","4","https://classicdb.ch/?item=20890","2018.01.19"
"Aydda","Hard Spider Leg Tip","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=1074","2017.10.19"
"Aydda","Bloodtinged Kilt","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19895","2017.10.06"
"Aydda","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2018.01.02"
"Aydda","Forked Tongue","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=6444","2018.01.02"
"Aydda","Large Bat Fang","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=11403","2017.10.19"
"Aydda","Qiraji Magisterial Ring","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20884","2018.01.05"
"Aydda","Betrayer's Boots","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19897","2018.01.02"
"Aydda","Encrypted Twilight Text","ffffffff","1","White","1","https://classicdb.ch/?item=20404","2017.09.18"
"Aydda","Tome of Frostbolt XI","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21214","2018.01.05"
"Aydda","Primal Hakkari Girdle","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19719","2018.01.23"
"Aydda","Runecloth","ffffffff","2","White","1","https://classicdb.ch/?item=14047","2017.09.18"
"Aydda","Elegant Tunic of Arcane Wrath","ff1eff00","1","Green","2","https://classicdb.ch/?item=10218","2017.09.18"
"Aydda","Black Stone","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=21223","2018.01.19"
"Aydda","Scroll of Strength IV","ffffffff","1","White","1","https://classicdb.ch/?item=10310","2017.09.18"
