"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Azkaranth","Silver Scarab","ff1eff00","1","Green","2","https://classicdb.ch/?item=20860","2018.02.06"
"Azkaranth","Hand of Lucifron","ffffffff","1","White","1","https://classicdb.ch/?item=17329","2017.11.26"
"Azkaranth","Heavy Silithid Husk","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=21225","2018.02.06"
"Azkaranth","Hand of Gehennas","ffffffff","1","White","1","https://classicdb.ch/?item=17331","2017.11.26"
"Azkaranth","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.12.03"
"Azkaranth","Kurinnaxx's Venom Sac","ffffffff","1","White","1","https://classicdb.ch/?item=22217","2018.02.06"
"Azkaranth","Qiraji Sacrificial Dagger","ffa335ee","1","Epic","4","https://classicdb.ch/?item=21498","2018.02.06"
"Azkaranth","Hand of Sulfuron","ffffffff","1","White","1","https://classicdb.ch/?item=17330","2017.11.26"
"Azkaranth","Larval Acid","ffffffff","1","White","1","https://classicdb.ch/?item=18512","2018.02.06"
"Azkaranth","Runecloth","ffffffff","2","White","1","https://classicdb.ch/?item=14047","2017.11.26"
"Azkaranth","Thornling Seed","ffffffff","1","White","1","https://classicdb.ch/?item=18297","2017.11.26"
"Azkaranth","Manual of Battle Shout VII","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21298","2018.02.06"
"Azkaranth","Armored Chitin","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=21222","2018.02.06"
"Azkaranth","Qiraji Magisterial Ring","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20884","2018.02.06"
"Azkaranth","Dark Iron Ore","ffffffff","2","White","1","https://classicdb.ch/?item=11370","2017.12.03"
"Azkaranth","Gordok Chew Toy","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=18236","2017.11.26"
"Azkaranth","Cloak of Draconic Might","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19436","2017.11.30"
"Azkaranth","Mastiff Jawbone","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=18237","2017.11.26"
"Azkaranth","Hand of Shazzrah","ffffffff","1","White","1","https://classicdb.ch/?item=17332","2017.11.26"
