"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Biglos","Lifeless Stone","ff9d9d9d","4","Grey","0","https://classicdb.ch/?item=4784","2017.08.20"
"Biglos","Coal","ffffffff","2","White","1","https://classicdb.ch/?item=3857","2017.08.20"
"Biglos","Salamander Scale Pants","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18875","2017.08.20"
"Biglos","Burning Pitch","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4787","2017.08.20"
"Biglos","Thick Leather Pants","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3966","2017.08.20"
"Biglos","Dark Iron Ore","ffffffff","3","White","1","https://classicdb.ch/?item=11370","2017.08.20"
"Biglos","Wicked Claw","ffffffff","2","White","1","https://classicdb.ch/?item=8146","2017.08.20"
"Biglos","Core of Earth","ffffffff","2","White","1","https://classicdb.ch/?item=7075","2017.08.20"
"Biglos","Dark Iron Ore","ffffffff","1","White","1","https://classicdb.ch/?item=11370","2017.08.13"
"Biglos","Qiraji Lord's Insignia","ffffffff","1","White","1","https://classicdb.ch/?item=21229","2017.12.28"
"Biglos","Sayge's Fortune #26","ffffffff","1","White","1","https://classicdb.ch/?item=19451","2017.08.13"
"Biglos","Felheart Gloves","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16805","2017.09.17"
"Biglos","Aurastone Hammer","ffa335ee","1","Epic","4","https://classicdb.ch/?item=17105","2017.08.13"
"Biglos","Overlinked Coif","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=8751","2017.09.17"
"Biglos","Felheart Pants","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16810","2017.09.17"
"Biglos","Heart of Fire","ffffffff","1","White","1","https://classicdb.ch/?item=7077","2017.09.17"
"Biglos","Sabatons of the Flamewalker","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19144","2017.09.17"
