"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Bobafaith","Major Healing Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13446","2018.01.30"
"Bobafaith","Thick Leather","ffffffff","4","White","1","https://classicdb.ch/?item=4304","2018.01.30"
"Bobafaith","Forked Tongue","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=6444","2018.01.30"
"Bobafaith","Dripping Spider Mandible","ff9d9d9d","3","Grey","0","https://classicdb.ch/?item=4585","2018.01.30"
"Bobafaith","Hard Spider Leg Tip","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=1074","2018.01.30"
"Bobafaith","Wicked Claw","ffffffff","1","White","1","https://classicdb.ch/?item=8146","2018.01.30"
"Bobafaith","Evil Bat Eye","ffffffff","1","White","1","https://classicdb.ch/?item=11404","2018.01.30"
"Bobafaith","Sabertooth Fang","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=4580","2018.01.30"
"Bobafaith","Vilebranch Coin","ff1eff00","1","Green","2","https://classicdb.ch/?item=19702","2018.01.30"
"Bobafaith","Patch of Fine Fur","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4581","2018.01.30"
"Bobafaith","Rugged Leather","ffffffff","2","White","1","https://classicdb.ch/?item=8170","2018.01.30"
"Bobafaith","Large Bat Fang","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=11403","2018.01.30"
