"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Cassie","Snellig's Snuffbox","ffffffff","1","White","1","https://classicdb.ch/?item=3619","2018.03.20"
"Cassie","Melon Juice","ffffffff","1","White","1","https://classicdb.ch/?item=1205","2018.03.20"
"Cassie","Silk Cloth","ffffffff","4","White","1","https://classicdb.ch/?item=4306","2018.03.20"
"Cassie","Dwarven Mild","ffffffff","1","White","1","https://classicdb.ch/?item=422","2018.03.20"
"Cassie","Murloc Fin","ffffffff","1","White","1","https://classicdb.ch/?item=1468","2018.03.20"
"Cassie","Lesser Mana Potion","ffffffff","1","White","1","https://classicdb.ch/?item=3385","2018.03.20"
"Cassie","Pointy Crocolisk Tooth","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=770","2018.03.20"
"Cassie","Infantry Belt","ffffffff","1","White","1","https://classicdb.ch/?item=6509","2018.03.20"
"Cassie","Medium Hide","ffffffff","1","White","1","https://classicdb.ch/?item=4232","2018.03.20"
"Cassie","Snapvine Watermelon","ffffffff","1","White","1","https://classicdb.ch/?item=4538","2018.03.20"
"Cassie","Murloc Eye","ffffffff","1","White","1","https://classicdb.ch/?item=730","2018.03.20"
"Cassie","Slimy Murloc Scale","ffffffff","2","White","1","https://classicdb.ch/?item=5784","2018.03.20"
"Cassie","Lesser Healing Potion","ffffffff","1","White","1","https://classicdb.ch/?item=858","2018.03.20"
"Cassie","Wool Cloth","ffffffff","1","White","1","https://classicdb.ch/?item=2592","2018.03.20"
"Cassie","Intrepid Strongbox Key","ffffffff","1","White","1","https://classicdb.ch/?item=2629","2018.03.20"
"Cassie","Raw Bristle Whisker Catfish","ffffffff","1","White","1","https://classicdb.ch/?item=6308","2018.03.20"
"Cassie","Shimmering Bracers of the Eagle","ff1eff00","1","Green","2","https://classicdb.ch/?item=6563","2018.03.20"
"Cassie","Tender Crocolisk Meat","ffffffff","3","White","1","https://classicdb.ch/?item=3667","2018.03.20"
"Cassie","Giant Crocolisk Skin","ffffffff","4","White","1","https://classicdb.ch/?item=3348","2018.03.20"
"Cassie","Shiny Fish Scales","ffffffff","2","White","1","https://classicdb.ch/?item=17057","2018.03.20"
