"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Chendi","Zanzil's Band","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19905","2018.01.23"
"Chendi","Arcanist Boots","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16800","2017.11.26"
"Chendi","Mantle of the Blackwing Cabal","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19370","2017.12.14"
"Chendi","Qiraji Lord's Insignia","ffffffff","4","White","1","https://classicdb.ch/?item=21229","2018.01.25"
"Chendi","Mastiff Jawbone","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=18237","2017.11.26"
"Chendi","Band of Forced Concentration","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19403","2018.01.11"
"Chendi","Thick Leather Shoulderpads","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3967","2017.11.26"
"Chendi","Staff of Dominance","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18842","2017.11.26"
"Chendi","Delicate Insect Wing","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=6302","2017.11.26"
"Chendi","Mind Quickening Gem","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19339","2017.12.07"
"Chendi","Seal of the Archmagus","ffa335ee","1","Epic","4","https://classicdb.ch/?item=17110","2017.12.14"
"Chendi","Angelista's Grasp","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19388","2017.11.30"
"Chendi","Arcanist Mantle","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16797","2017.11.26"
"Chendi","Ringo's Blizzard Boots","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19438","2017.11.30"
"Chendi","Sayge's Fortune #19","ffffffff","1","White","1","https://classicdb.ch/?item=19237","2017.12.10"
"Chendi","Qiraji Lord's Insignia","ffffffff","5","White","1","https://classicdb.ch/?item=21229","2018.02.11"
"Chendi","Ancient Qiraji Artifact","ffffffff","6","White","1","https://classicdb.ch/?item=21230","2018.01.25"
"Chendi","Ancient Qiraji Artifact","ffffffff","2","White","1","https://classicdb.ch/?item=21230","2018.02.11"
"Chendi","Netherwind Pants","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16915","2017.12.03"
"Chendi","Arcanist Gloves","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16801","2017.12.03"
"Chendi","The Hexxer's Cover","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19886","2018.01.23"
"Chendi","Choker of Enlightenment","ffa335ee","1","Epic","4","https://classicdb.ch/?item=17109","2017.12.10"
"Chendi","Netherwind Boots","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16912","2018.01.11"
"Chendi","Channeler's Head","ffffffff","3","White","1","https://classicdb.ch/?item=19881","2018.01.23"
"Chendi","Qiraji Lord's Insignia","ffffffff","4","White","1","https://classicdb.ch/?item=21229","2018.01.18"
"Chendi","Head of Onyxia","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18423","2017.12.03"
"Chendi","Ancient Qiraji Artifact","ffffffff","4","White","1","https://classicdb.ch/?item=21230","2018.01.18"
"Chendi","Azuresong Mageblade","ffa335ee","1","Epic","4","https://classicdb.ch/?item=17103","2017.12.14"
