"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Chuckpants","Qiraji Regal Drape","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20889","2017.12.29"
"Chuckpants","Essence of the Pure Flame","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18815","2017.10.22"
"Chuckpants","Black Ash Robe","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19399","2017.10.12"
"Chuckpants","Patch of Fine Fur","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4581","2017.09.22"
"Chuckpants","Book of Healing Touch XI","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21294","2018.01.05"
"Chuckpants","Blue Qiraji Resonating Crystal","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21218","2018.01.04"
"Chuckpants","Qiraji Ornate Hilt","ffa335ee","1","Epic","4","https://classicdb.ch/?item=20890","2018.01.05"
"Chuckpants","Primalist's Band","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19920","2017.09.22"
"Chuckpants","Ancient Qiraji Artifact","ffffffff","1","White","1","https://classicdb.ch/?item=21230","2018.01.04"
"Chuckpants","Salamander Scale Pants","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18875","2017.10.22"
"Chuckpants","Emberweave Leggings","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19433","2017.10.12"
"Chuckpants","Sayge's Fortune #20","ffffffff","1","White","1","https://classicdb.ch/?item=19266","2017.12.10"
"Chuckpants","Venomous Totem","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19342","2017.10.12"
"Chuckpants","Book of Rejuvenation XI","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21296","2017.12.29"
"Chuckpants","Mutton Chop","ffffffff","1","White","1","https://classicdb.ch/?item=3770","2018.03.18"
"Chuckpants","Fish Oil","ffffffff","2","White","1","https://classicdb.ch/?item=17058","2018.03.18"
"Chuckpants","Linen Cloth","ffffffff","1","White","1","https://classicdb.ch/?item=2589","2018.03.18"
"Chuckpants","Malfurion's Blessed Bulwark","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19405","2017.09.21"
"Chuckpants","Qiraji Lord's Insignia","ffffffff","4","White","1","https://classicdb.ch/?item=21229","2018.01.18"
"Chuckpants","Murloc Fin","ffffffff","1","White","1","https://classicdb.ch/?item=1468","2018.03.18"
"Chuckpants","Twilight Pendant","ffffffff","4","White","1","https://classicdb.ch/?item=5879","2018.03.18"
"Chuckpants","Dwarven Mild","ffffffff","1","White","1","https://classicdb.ch/?item=422","2018.03.18"
"Chuckpants","Warstrike Buckler","ff1eff00","1","Green","2","https://classicdb.ch/?item=14812","2017.10.13"
"Chuckpants","Jin'do's Judgement","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19884","2018.01.30"
"Chuckpants","Tangy Clam Meat","ffffffff","5","White","1","https://classicdb.ch/?item=5504","2018.03.18"
"Chuckpants","Qiraji Lord's Insignia","ffffffff","3","White","1","https://classicdb.ch/?item=21229","2018.02.11"
"Chuckpants","Stormrage Chestguard","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16897","2017.11.16"
"Chuckpants","Boots of the Fiery Sands","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21482","2018.01.15"
"Chuckpants","Stormrage Boots","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16898","2017.09.21"
"Chuckpants","Primal Bat Leather","ffffffff","1","White","1","https://classicdb.ch/?item=19767","2018.01.30"
"Chuckpants","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2017.09.21"
"Chuckpants","Tough Leather Shoulderpads","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=1809","2018.03.18"
"Chuckpants","Lesser Mana Potion","ffffffff","1","White","1","https://classicdb.ch/?item=3385","2018.03.18"
"Chuckpants","Ancient Qiraji Artifact","ffffffff","2","White","1","https://classicdb.ch/?item=21230","2018.01.18"
"Chuckpants","Shiny Fish Scales","ffffffff","3","White","1","https://classicdb.ch/?item=17057","2018.03.18"
"Chuckpants","Thick-shelled Clam","ffffffff","5","White","1","https://classicdb.ch/?item=5524","2018.03.18"
"Chuckpants","Boots of the Vanguard","ffa335ee","1","Epic","4","https://classicdb.ch/?item=21493","2017.12.26"
"Chuckpants","Silk Cloth","ffffffff","2","White","1","https://classicdb.ch/?item=4306","2018.03.20"
"Chuckpants","Toughened Silithid Hide Gloves","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21501","2017.12.26"
"Chuckpants","Dragonstalker's Bracers","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16935","2017.11.30"
"Chuckpants","Cloak of Draconic Might","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19436","2017.11.30"
"Chuckpants","Cross-stitched Vest","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=1786","2018.03.20"
"Chuckpants","Handguards of Transcendence","ffa335ee","2","Epic","4","https://classicdb.ch/?item=16920","2017.11.30"
"Chuckpants","Aegis of Preservation","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19345","2017.11.30"
"Chuckpants","Band of Dark Dominion","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19434","2017.11.30"
"Chuckpants","Formula: Enchant Bracer - Superior Stamina","ff1eff00","1","Green","2","https://classicdb.ch/?item=16251","2017.10.08"
"Chuckpants","Stormrage Handguards","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16899","2017.11.30"
"Chuckpants","Runecloth","ffffffff","3","White","1","https://classicdb.ch/?item=14047","2017.10.11"
"Chuckpants","Small Lustrous Pearl","ff1eff00","1","Green","2","https://classicdb.ch/?item=5498","2018.03.18"
"Chuckpants","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2018.01.28"
"Chuckpants","Melon Juice","ffffffff","1","White","1","https://classicdb.ch/?item=1205","2018.03.18"
"Chuckpants","Head of Kelris","ffffffff","1","White","1","https://classicdb.ch/?item=5881","2018.03.18"
"Chuckpants","Scroll of Strength III","ffffffff","1","White","1","https://classicdb.ch/?item=4426","2017.10.11"
"Chuckpants","Qiraji Lord's Insignia","ffffffff","4","White","1","https://classicdb.ch/?item=21229","2018.01.25"
"Chuckpants","Ancient Qiraji Artifact","ffffffff","5","White","1","https://classicdb.ch/?item=21230","2018.01.25"
"Chuckpants","Blunting Mace","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4021","2017.10.11"
"Chuckpants","Raw Bristle Whisker Catfish","ffffffff","1","White","1","https://classicdb.ch/?item=6308","2018.03.18"
"Chuckpants","Shadowforge Torch","ffffffff","1","White","1","https://classicdb.ch/?item=11885","2017.10.11"
"Chuckpants","Qiraji Regal Drape","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20889","2018.01.15"
"Chuckpants","Arcanist Gloves","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16801","2018.02.01"
"Chuckpants","Guise of the Devourer","ffa335ee","1","Epic","4","https://classicdb.ch/?item=21693","2018.02.11"
"Chuckpants","Twill Gloves","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3948","2017.09.26"
"Chuckpants","Giantstalker's Boots","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16849","2018.02.01"
"Chuckpants","Stormrage Pauldrons","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16902","2017.12.28"
"Chuckpants","Tin Ore","ffffffff","3","White","1","https://classicdb.ch/?item=2771","2018.03.18"
"Chuckpants","Thick Qirajihide Belt","ffa335ee","1","Epic","4","https://classicdb.ch/?item=21675","2018.02.11"
"Chuckpants","Coarse Stone","ffffffff","2","White","1","https://classicdb.ch/?item=2836","2018.03.18"
"Chuckpants","Felheart Slippers","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16803","2018.02.01"
"Chuckpants","Giantstalker's Epaulets","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16848","2018.02.01"
"Chuckpants","Hourglass Sand","ffffffff","1","White","1","https://classicdb.ch/?item=19183","2017.12.28"
"Chuckpants","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2018.01.11"
"Chuckpants","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.09.27"
"Chuckpants","Stormrage Bracers","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16904","2017.12.28"
"Chuckpants","Eskhandar's Right Claw","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18203","2017.10.22"
"Chuckpants","Pants of Prophecy","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16814","2017.10.22"
"Chuckpants","Runecloth","ffffffff","3","White","1","https://classicdb.ch/?item=14047","2017.09.26"
"Chuckpants","Overlinked Chain Belt","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4000","2017.09.26"
"Chuckpants","Eskhandar's Right Claw","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18203","2018.02.01"
"Chuckpants","Major Healing Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13446","2017.09.27"
"Chuckpants","Giantstalker's Leggings","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16847","2018.02.01"
"Chuckpants","Large Hoof","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=5871","2018.03.18"
"Chuckpants","Wool Cloth","ffffffff","7","White","1","https://classicdb.ch/?item=2592","2018.03.18"
