"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Constantlee","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2017.11.23"
"Constantlee","Dragonstalker's Bracers","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16935","2017.11.23"
"Constantlee","Prestor's Talisman of Connivery","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19377","2017.12.07"
"Constantlee","Heartstriker","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19350","2017.11.23"
"Constantlee","Roasted Quail","ffffffff","9","White","1","https://classicdb.ch/?item=8952","2017.11.23"
"Constantlee","Roasted Quail","ffffffff","5","White","1","https://classicdb.ch/?item=8952","2017.11.30"
"Constantlee","Giantstalker's Epaulets","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16848","2017.11.19"
"Constantlee","Husk Fragment","ff9d9d9d","4","Grey","0","https://classicdb.ch/?item=6300","2017.12.07"
"Constantlee","Delicate Insect Wing","ff9d9d9d","5","Grey","0","https://classicdb.ch/?item=6302","2017.12.07"
"Constantlee","Arcane Infused Gem","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19336","2017.11.16"
"Constantlee","Blastershot Launcher","ffa335ee","1","Epic","4","https://classicdb.ch/?item=17072","2017.11.19"
"Constantlee","Roasted Quail","ffffffff","5","White","1","https://classicdb.ch/?item=8952","2017.12.07"
"Constantlee","Broken Silithid Chitin","ff9d9d9d","3","Grey","0","https://classicdb.ch/?item=20499","2017.12.07"
"Constantlee","Giantstalker's Boots","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16849","2017.11.19"
"Constantlee","Tome of Tranquilizing Shot","ff1eff00","1","Green","2","https://classicdb.ch/?item=16665","2017.11.19"
"Constantlee","Mature Black Dragon Sinew","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18705","2017.11.26"
"Constantlee","Cloak of the Shrouded Mists","ffa335ee","1","Epic","4","https://classicdb.ch/?item=17102","2017.11.26"
"Constantlee","Giantstalker's Belt","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16851","2017.11.19"
"Constantlee","Giantstalker's Helmet","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16846","2017.11.19"
"Constantlee","Major Healing Potion","ffffffff","2","White","1","https://classicdb.ch/?item=13446","2017.12.17"
"Constantlee","Tender Wolf Meat","ffffffff","1","White","1","https://classicdb.ch/?item=12208","2017.12.17"
"Constantlee","Corrupted Soul Shard","ffffffff","3","White","1","https://classicdb.ch/?item=11515","2017.12.14"
"Constantlee","Runecloth","ffffffff","4","White","1","https://classicdb.ch/?item=14047","2017.12.17"
"Constantlee","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2017.12.14"
"Constantlee","Roasted Quail","ffffffff","6","White","1","https://classicdb.ch/?item=8952","2017.12.21"
"Constantlee","Doom's Edge","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19362","2017.12.14"
"Constantlee","Feathery Wing","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=11417","2017.11.23"
"Constantlee","Thick Leather Bracers","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3963","2017.12.17"
"Constantlee","Heavy War Staff","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4024","2017.12.17"
