"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Dankbusta","Imperial Jewel","ff0070dd","1","Blue","3","https://classicdb.ch/?item=11933","2017.10.02"
"Dankbusta","Large Trophy Paw","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4584","2017.10.02"
"Dankbusta","Relic Coffer Key","ffffffff","1","White","1","https://classicdb.ch/?item=11078","2017.10.02"
"Dankbusta","Runecloth","ffffffff","4","White","1","https://classicdb.ch/?item=14047","2017.10.02"
"Dankbusta","Splintering Battle Axe","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4020","2017.10.02"
"Dankbusta","Coal","ffffffff","2","White","1","https://classicdb.ch/?item=3857","2017.10.02"
"Dankbusta","Homemade Cherry Pie","ffffffff","1","White","1","https://classicdb.ch/?item=8950","2017.10.02"
"Dankbusta","Burning Pitch","ff9d9d9d","4","Grey","0","https://classicdb.ch/?item=4787","2017.10.02"
"Dankbusta","Dark Iron Residue","ffffffff","5","White","1","https://classicdb.ch/?item=18945","2017.10.02"
"Dankbusta","Scroll of Protection IV","ffffffff","1","White","1","https://classicdb.ch/?item=10305","2017.10.02"
