"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Digs","Worn Dragonscale","ffffffff","2","White","1","https://classicdb.ch/?item=8165","2017.12.31"
"Digs","Runecloth","ffffffff","2","White","1","https://classicdb.ch/?item=14047","2017.09.18"
"Digs","Lifeless Stone","ff9d9d9d","4","Grey","0","https://classicdb.ch/?item=4784","2017.08.20"
"Digs","Dark Iron Ore","ffffffff","18","White","1","https://classicdb.ch/?item=11370","2017.08.13"
"Digs","Scroll of Stamina IV","ffffffff","1","White","1","https://classicdb.ch/?item=10307","2017.12.31"
"Digs","Burning Pitch","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4787","2017.08.20"
"Digs","Encrypted Twilight Text","ffffffff","6","White","1","https://classicdb.ch/?item=20404","2017.09.18"
"Digs","Core of Earth","ffffffff","1","White","1","https://classicdb.ch/?item=7075","2017.08.13"
"Digs","Coal","ffffffff","5","White","1","https://classicdb.ch/?item=3857","2017.08.20"
"Digs","Elven Spirit Claws","ff0070dd","1","Blue","3","https://classicdb.ch/?item=2564","2017.09.17"
"Digs","Green Dragonscale","ffffffff","1","White","1","https://classicdb.ch/?item=15412","2017.12.31"
"Digs","Hourglass Sand","ffffffff","1","White","1","https://classicdb.ch/?item=19183","2017.12.31"
"Digs","Elemental Earth","ffffffff","1","White","1","https://classicdb.ch/?item=7067","2017.09.17"
"Digs","Black Dragonscale","ffffffff","7","White","1","https://classicdb.ch/?item=15416","2017.12.31"
"Digs","Major Healing Potion","ffffffff","2","White","1","https://classicdb.ch/?item=13446","2017.12.31"
"Digs","Blanchard's Stout","ff0070dd","1","Blue","3","https://classicdb.ch/?item=13046","2017.09.17"
"Digs","Rugged Hide","ffffffff","1","White","1","https://classicdb.ch/?item=8171","2017.12.31"
"Digs","Solid Stone","ffffffff","3","White","1","https://classicdb.ch/?item=7912","2017.08.20"
"Digs","Rugged Leather","ffffffff","10","White","1","https://classicdb.ch/?item=8170","2017.12.31"
"Digs","Wicked Claw","ffffffff","1","White","1","https://classicdb.ch/?item=8146","2017.08.13"
"Digs","Heavy Leather","ffffffff","1","White","1","https://classicdb.ch/?item=4234","2017.08.13"
"Digs","Thick Leather","ffffffff","1","White","1","https://classicdb.ch/?item=4304","2017.08.13"
"Digs","Qiraji Lord's Insignia","ffffffff","2","White","1","https://classicdb.ch/?item=21229","2017.12.28"
"Digs","Burning Pitch","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4787","2017.08.13"
"Digs","Coal","ffffffff","2","White","1","https://classicdb.ch/?item=3857","2017.08.13"
"Digs","Lifeless Stone","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=4784","2017.08.27"
"Digs","Dark Iron Ore","ffffffff","21","White","1","https://classicdb.ch/?item=11370","2017.08.27"
"Digs","Core Leather","ffffffff","3","White","1","https://classicdb.ch/?item=17012","2017.08.13"
"Digs","Blood of the Mountain","ff1eff00","1","Green","2","https://classicdb.ch/?item=11382","2017.08.27"
"Digs","Sayge's Fortune #29","ffffffff","1","White","1","https://classicdb.ch/?item=19454","2017.08.13"
"Digs","Core of Earth","ffffffff","1","White","1","https://classicdb.ch/?item=7075","2017.08.20"
"Digs","Eternium Lockbox","ff1eff00","1","Green","2","https://classicdb.ch/?item=5760","2017.08.13"
"Digs","Fiery Core","ff0070dd","2","Blue","3","https://classicdb.ch/?item=17010","2017.08.13"
"Digs","Essence of Fire","ff1eff00","2","Green","2","https://classicdb.ch/?item=7078","2017.08.13"
"Digs","Aquamarine","ff1eff00","1","Green","2","https://classicdb.ch/?item=7909","2017.08.13"
"Digs","Elemental Fire","ffffffff","2","White","1","https://classicdb.ch/?item=7068","2017.08.13"
"Digs","Core Leather","ffffffff","1","White","1","https://classicdb.ch/?item=17012","2017.08.27"
"Digs","Essence of Earth","ff1eff00","2","Green","2","https://classicdb.ch/?item=7076","2017.08.13"
"Digs","Lifeless Stone","ff9d9d9d","4","Grey","0","https://classicdb.ch/?item=4784","2017.08.13"
"Digs","Lava Core","ff0070dd","1","Blue","3","https://classicdb.ch/?item=17011","2017.08.13"
"Digs","Fiery Core","ff0070dd","1","Blue","3","https://classicdb.ch/?item=17010","2017.09.17"
"Digs","Core of Earth","ffffffff","2","White","1","https://classicdb.ch/?item=7075","2017.09.17"
"Digs","Dark Iron Ore","ffffffff","23","White","1","https://classicdb.ch/?item=11370","2017.09.17"
"Digs","Core Leather","ffffffff","4","White","1","https://classicdb.ch/?item=17012","2017.08.20"
"Digs","Rugged Leather","ffffffff","1","White","1","https://classicdb.ch/?item=8170","2017.09.17"
"Digs","Dark Iron Ore","ffffffff","23","White","1","https://classicdb.ch/?item=11370","2017.08.20"
"Digs","Qiraji Lord's Insignia","ffffffff","2","White","1","https://classicdb.ch/?item=21229","2017.12.24"
"Digs","Ancient Qiraji Artifact","ffffffff","3","White","1","https://classicdb.ch/?item=21230","2017.12.24"
"Digs","Heart of Fire","ffffffff","1","White","1","https://classicdb.ch/?item=7077","2017.08.20"
"Digs","Heart of Fire","ffffffff","1","White","1","https://classicdb.ch/?item=7077","2017.09.17"
"Digs","Dark Iron Ore","ffffffff","16","White","1","https://classicdb.ch/?item=11370","2017.07.02"
"Digs","Core Leather","ffffffff","11","White","1","https://classicdb.ch/?item=17012","2017.09.17"
"Digs","Blood of the Mountain","ff1eff00","1","Green","2","https://classicdb.ch/?item=11382","2017.09.17"
"Digs","Rugged Leather","ffffffff","1","White","1","https://classicdb.ch/?item=8170","2017.07.02"
