"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Dixxie","Heavy Silithid Husk","ff9d9d9d","4","Grey","0","https://classicdb.ch/?item=21225","2018.02.06"
"Dixxie","Amber Idol","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20869","2018.02.06"
"Dixxie","Qiraji Lord's Insignia","ffffffff","2","White","1","https://classicdb.ch/?item=21229","2017.12.28"
"Dixxie","Armored Chitin","ff9d9d9d","7","Grey","0","https://classicdb.ch/?item=21222","2018.02.06"
"Dixxie","Ancient Qiraji Artifact","ffffffff","3","White","1","https://classicdb.ch/?item=21230","2017.12.24"
"Dixxie","Manual of Revenge VI","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21299","2018.02.06"
"Dixxie","Qiraji Lord's Insignia","ffffffff","2","White","1","https://classicdb.ch/?item=21229","2017.12.24"
"Dixxie","Gold Scarab","ff1eff00","1","Green","2","https://classicdb.ch/?item=20859","2018.02.06"
"Dixxie","Puissant Cape","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18541","2018.02.09"
"Dixxie","Crystal Scarab","ff1eff00","1","Green","2","https://classicdb.ch/?item=20862","2018.02.06"
"Dixxie","Ancient Armor Fragment","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=21224","2018.02.06"
"Dixxie","Kurinnaxx's Venom Sac","ffffffff","1","White","1","https://classicdb.ch/?item=22217","2018.02.06"
"Dixxie","Qiraji Martial Drape","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20885","2018.02.06"
