"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Doomnz","Stone Scarab","ff1eff00","1","Green","2","https://classicdb.ch/?item=20858","2018.02.06"
"Doomnz","Armored Chitin","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=21222","2017.12.24"
"Doomnz","Ancient Qiraji Artifact","ffffffff","3","White","1","https://classicdb.ch/?item=21230","2017.12.24"
"Doomnz","Azure Idol","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20866","2018.02.06"
"Doomnz","Kurinnaxx's Venom Sac","ffffffff","1","White","1","https://classicdb.ch/?item=22217","2018.02.06"
"Doomnz","Small Obsidian Shard","ffffffff","9","White","1","https://classicdb.ch/?item=22202","2018.02.06"
"Doomnz","Lifeless Stone","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4784","2017.09.17"
"Doomnz","Qiraji Martial Drape","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20885","2018.02.06"
"Doomnz","Qiraji Lord's Insignia","ffffffff","2","White","1","https://classicdb.ch/?item=21229","2017.12.24"
"Doomnz","Pattern: Runecloth Shoulders","ff1eff00","1","Green","2","https://classicdb.ch/?item=14504","2017.09.18"
"Doomnz","Runecloth","ffffffff","3","White","1","https://classicdb.ch/?item=14047","2017.09.18"
"Doomnz","Burning Pitch","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4787","2017.09.17"
