"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Drolean","Gurubashi Coin","ff1eff00","1","Green","2","https://classicdb.ch/?item=19701","2018.01.30"
"Drolean","Brilliant Scale","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=6826","2018.01.30"
"Drolean","Primal Tiger Leather","ffffffff","3","White","1","https://classicdb.ch/?item=19768","2018.01.30"
"Drolean","Recipe: Purification Potion","ff1eff00","1","Green","2","https://classicdb.ch/?item=13492","2018.01.30"
"Drolean","Witherbark Coin","ff1eff00","1","Green","2","https://classicdb.ch/?item=19703","2018.01.30"
"Drolean","Sandfury Coin","ff1eff00","1","Green","2","https://classicdb.ch/?item=19704","2018.01.30"
"Drolean","Seal of Jin","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19898","2018.01.30"
"Drolean","Homemade Cherry Pie","ffffffff","1","White","1","https://classicdb.ch/?item=8950","2018.01.30"
"Drolean","Darkmoon Special Reserve","ffffffff","4","White","1","https://classicdb.ch/?item=19221","2018.01.30"
"Drolean","Patch of Fine Fur","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4581","2018.01.30"
"Drolean","Forked Tongue","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=6444","2018.01.30"
"Drolean","Purple Lotus","ffffffff","1","White","1","https://classicdb.ch/?item=8831","2018.01.30"
"Drolean","Thick Leather","ffffffff","7","White","1","https://classicdb.ch/?item=4304","2018.01.30"
"Drolean","Channeler's Head","ffffffff","5","White","1","https://classicdb.ch/?item=19881","2018.01.30"
"Drolean","Powerful Mojo","ffffffff","1","White","1","https://classicdb.ch/?item=12804","2018.01.30"
"Drolean","Rugged Hide","ffffffff","3","White","1","https://classicdb.ch/?item=8171","2018.01.30"
"Drolean","Sabertooth Fang","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4580","2018.01.30"
"Drolean","Elder Raptor Feathers","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=20015","2018.01.30"
"Drolean","Rugged Leather","ffffffff","74","White","1","https://classicdb.ch/?item=8170","2018.01.30"
"Drolean","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2018.01.30"
"Drolean","Punctured Voodoo Doll","ff1eff00","2","Green","2","https://classicdb.ch/?item=19821","2018.01.30"
