"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Drowranger","Scale of Onyxia","ff0070dd","1","Blue","3","https://classicdb.ch/?item=15410","2017.09.24"
"Drowranger","Core Leather","ffffffff","4","White","1","https://classicdb.ch/?item=17012","2017.11.12"
"Drowranger","Core Leather","ffffffff","7","White","1","https://classicdb.ch/?item=17012","2017.09.24"
"Drowranger","Roasted Quail","ffffffff","13","White","1","https://classicdb.ch/?item=8952","2017.11.16"
"Drowranger","Red Dragonscale","ffffffff","1","White","1","https://classicdb.ch/?item=15414","2017.10.12"
"Drowranger","Scroll of Intellect IV","ffffffff","1","White","1","https://classicdb.ch/?item=10308","2017.10.05"
"Drowranger","Prestor's Talisman of Connivery","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19377","2017.11.12"
"Drowranger","Black Dragonscale","ffffffff","2","White","1","https://classicdb.ch/?item=15416","2017.10.12"
"Drowranger","Brilliant Chromatic Scale","ff0070dd","1","Blue","3","https://classicdb.ch/?item=12607","2017.10.12"
"Drowranger","Green Dragonscale","ffffffff","1","White","1","https://classicdb.ch/?item=15412","2017.10.12"
"Drowranger","Roasted Quail","ffffffff","3","White","1","https://classicdb.ch/?item=8952","2017.09.21"
"Drowranger","Pattern: Runic Leather Belt","ff1eff00","1","Green","2","https://classicdb.ch/?item=15745","2017.10.08"
"Drowranger","Deeprock Salt","ffffffff","1","White","1","https://classicdb.ch/?item=8150","2017.10.08"
"Drowranger","Dragonstalker's Spaulders","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16937","2017.09.21"
