"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Drsugimoto","Burning Pitch","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4787","2017.08.13"
"Drsugimoto","Triumphant Shield of the Owl","ff1eff00","1","Green","2","https://classicdb.ch/?item=15687","2017.07.02"
"Drsugimoto","Yellow Sack of Gems","ff1eff00","1","Green","2","https://classicdb.ch/?item=17965","2017.07.02"
"Drsugimoto","Fiery Core","ff0070dd","1","Blue","3","https://classicdb.ch/?item=17010","2017.08.13"
"Drsugimoto","Mature Black Dragon Sinew","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18705","2017.07.02"
"Drsugimoto","Wyrmslayer Spaulders","ff0070dd","1","Blue","3","https://classicdb.ch/?item=13066","2017.07.02"
"Drsugimoto","Book: Gift of the Wild II","ff0070dd","1","Blue","3","https://classicdb.ch/?item=17683","2017.07.02"
"Drsugimoto","Elemental Earth","ffffffff","1","White","1","https://classicdb.ch/?item=7067","2017.08.13"
"Drsugimoto","Masterwork Legplates of the Gorilla","ff1eff00","1","Green","2","https://classicdb.ch/?item=10273","2017.07.02"
"Drsugimoto","Sayge's Fortune #9","ffffffff","1","White","1","https://classicdb.ch/?item=19244","2017.08.13"
