"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Emillen","Golden Sansam","ffffffff","1","White","1","https://classicdb.ch/?item=13464","2018.02.09"
"Emillen","Fiery Gland","ff9d9d9d","3","Grey","0","https://classicdb.ch/?item=4557","2017.12.19"
"Emillen","Ancient Qiraji Artifact","ffffffff","6","White","1","https://classicdb.ch/?item=21230","2018.01.18"
"Emillen","Major Healing Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13446","2017.12.17"
"Emillen","Elder Raptor Feathers","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=20015","2018.02.09"
"Emillen","Thorium Lockbox","ff1eff00","1","Green","2","https://classicdb.ch/?item=5759","2017.12.17"
"Emillen","Deadwood Headdress Feather","ffffffff","1","White","1","https://classicdb.ch/?item=21377","2017.12.14"
"Emillen","Mind Quickening Gem","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19339","2017.12.14"
"Emillen","Qiraji Lord's Insignia","ffffffff","4","White","1","https://classicdb.ch/?item=21229","2018.01.18"
"Emillen","Corrupted Soul Shard","ffffffff","1","White","1","https://classicdb.ch/?item=11515","2017.12.14"
"Emillen","Mountain Silversage","ffffffff","3","White","1","https://classicdb.ch/?item=13465","2018.02.09"
"Emillen","Powerful Mojo","ffffffff","1","White","1","https://classicdb.ch/?item=12804","2018.02.09"
"Emillen","Deadwood Headdress Feather","ffffffff","1","White","1","https://classicdb.ch/?item=21377","2017.12.14"
"Emillen","Double Mail Vest","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=3815","2018.02.08"
"Emillen","Arcane Pads","ff1eff00","1","Green","2","https://classicdb.ch/?item=8288","2018.02.08"
"Emillen","Alabaster Plate Helmet","ff1eff00","1","Green","2","https://classicdb.ch/?item=8317","2018.02.08"
"Emillen","Plans: Thorium Helm","ff1eff00","1","Green","2","https://classicdb.ch/?item=12694","2018.02.08"
"Emillen","Arcanist Gloves","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16801","2017.12.14"
"Emillen","Sorcerous Dagger","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18878","2017.12.10"
"Emillen","Patch of Fine Fur","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4581","2018.01.23"
"Emillen","Choker of the Fire Lord","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18814","2017.12.10"
"Emillen","Ancient Qiraji Artifact","ffffffff","1","White","1","https://classicdb.ch/?item=21230","2018.01.04"
"Emillen","Arcanist Leggings","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16796","2017.12.10"
"Emillen","Purple Hakkari Bijou","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19712","2018.02.09"
"Emillen","Patch of Fine Fur","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4581","2018.02.09"
"Emillen","Dragon's Touch","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19367","2017.12.14"
"Emillen","Laminated Scale Cloak","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3995","2017.12.19"
"Emillen","Ripped Wing Webbing","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=4460","2017.12.19"
"Emillen","Dreamfoil","ffffffff","1","White","1","https://classicdb.ch/?item=13463","2018.02.09"
"Emillen","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.12.19"
"Emillen","Orange Hakkari Bijou","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19710","2018.02.09"
"Emillen","Morning Glory Dew","ffffffff","3","White","1","https://classicdb.ch/?item=8766","2017.12.19"
"Emillen","Laminated Scale Armor","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3999","2017.12.19"
"Emillen","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2018.02.09"
"Emillen","Morrowgrain","ffffffff","1","White","1","https://classicdb.ch/?item=11040","2018.02.15"
"Emillen","Leggings of the Festering Swarm","ffa335ee","1","Epic","4","https://classicdb.ch/?item=21676","2018.01.25"
"Emillen","Sungrass","ffffffff","1","White","1","https://classicdb.ch/?item=8838","2018.02.15"
"Emillen","Briarthorn","ffffffff","1","White","1","https://classicdb.ch/?item=2450","2018.02.15"
"Emillen","Wicked Claw","ffffffff","1","White","1","https://classicdb.ch/?item=8146","2018.01.23"
"Emillen","Stranglekelp","ffffffff","1","White","1","https://classicdb.ch/?item=3820","2018.02.15"
"Emillen","Netherwind Belt","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16818","2018.02.15"
"Emillen","Netherwind Gloves","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16913","2018.02.15"
"Emillen","Earthroot","ffffffff","2","White","1","https://classicdb.ch/?item=2449","2018.02.11"
"Emillen","Ancient Qiraji Artifact","ffffffff","7","White","1","https://classicdb.ch/?item=21230","2018.01.25"
"Emillen","Forked Tongue","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=6444","2017.12.28"
"Emillen","Netherwind Boots","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16912","2018.01.21"
"Emillen","Morrowgrain","ffffffff","2","White","1","https://classicdb.ch/?item=11040","2018.02.11"
"Emillen","Imperial Red Boots","ff1eff00","1","Green","2","https://classicdb.ch/?item=8246","2018.02.11"
"Emillen","Double Mail Vest","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3815","2018.02.11"
"Emillen","Primal Hakkari Girdle","ffa335ee","2","Epic","4","https://classicdb.ch/?item=19719","2018.01.23"
"Emillen","Thick Leather Boots","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3962","2018.02.22"
"Emillen","Runecloth","ffffffff","2","White","1","https://classicdb.ch/?item=14047","2018.02.22"
"Emillen","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2018.01.23"
"Emillen","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2018.01.23"
"Emillen","Sabertooth Fang","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=4580","2018.01.23"
"Emillen","Pristine Raptor Skull","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4588","2018.01.23"
"Emillen","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2018.02.22"
"Emillen","Ironweb Spider Silk","ffffffff","1","White","1","https://classicdb.ch/?item=14227","2018.01.23"
"Emillen","Dripping Spider Mandible","ff9d9d9d","3","Grey","0","https://classicdb.ch/?item=4585","2018.01.23"
"Emillen","Evil Bat Eye","ffffffff","1","White","1","https://classicdb.ch/?item=11404","2018.01.23"
"Emillen","Overlinked Chain Shoulderpads","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4006","2018.02.22"
"Emillen","Heavy Flint Axe","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4019","2018.02.22"
"Emillen","Dried King Bolete","ffffffff","1","White","1","https://classicdb.ch/?item=8948","2018.01.23"
"Emillen","Deflecting Tower","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3987","2018.02.22"
"Emillen","Ironweb Spider Silk","ffffffff","1","White","1","https://classicdb.ch/?item=14227","2017.12.28"
"Emillen","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2017.12.10"
"Emillen","Major Mana Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13444","2018.02.10"
"Emillen","Ringo's Blizzard Boots","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19438","2017.12.28"
"Emillen","Dried King Bolete","ffffffff","1","White","1","https://classicdb.ch/?item=8948","2017.12.10"
"Emillen","Sabertooth Fang","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4580","2017.12.10"
"Emillen","Brilliant Scale","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=6826","2017.12.10"
"Emillen","Bloodcaller","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19864","2017.12.10"
"Emillen","Felcloth","ffffffff","1","White","1","https://classicdb.ch/?item=14256","2018.02.10"
"Emillen","Bloodvine","ff1eff00","3","Green","2","https://classicdb.ch/?item=19726","2018.02.09"
"Emillen","Purple Lotus","ffffffff","1","White","1","https://classicdb.ch/?item=8831","2018.02.09"
"Emillen","Patch of Fine Fur","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=4581","2017.12.17"
"Emillen","Wildvine","ffffffff","1","White","1","https://classicdb.ch/?item=8153","2018.02.09"
"Emillen","Major Healing Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13446","2018.02.10"
"Emillen","Dripping Spider Mandible","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=4585","2017.12.17"
"Emillen","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.12.17"
"Emillen","Larval Acid","ffffffff","1","White","1","https://classicdb.ch/?item=18512","2018.01.26"
"Emillen","Armored Chitin","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=21222","2018.01.26"
"Emillen","Qiraji Lord's Insignia","ffffffff","5","White","1","https://classicdb.ch/?item=21229","2018.02.11"
"Emillen","Tome of Frostbolt XI","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21214","2018.01.26"
"Emillen","Runecloth","ffffffff","2","White","1","https://classicdb.ch/?item=14047","2017.12.28"
"Emillen","Brilliant Scale","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=6826","2017.12.28"
"Emillen","Qiraji Lord's Insignia","ffffffff","4","White","1","https://classicdb.ch/?item=21229","2018.01.25"
"Emillen","Ancient Qiraji Artifact","ffffffff","3","White","1","https://classicdb.ch/?item=21230","2018.02.11"
"Emillen","Powerful Mojo","ffffffff","1","White","1","https://classicdb.ch/?item=12804","2017.12.10"
"Emillen","Patch of Fine Fur","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4581","2017.12.10"
"Emillen","Goldthorn","ffffffff","1","White","1","https://classicdb.ch/?item=3821","2018.02.11"
"Emillen","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2017.12.10"
"Emillen","Dripping Spider Mandible","ff9d9d9d","4","Grey","0","https://classicdb.ch/?item=4585","2017.12.10"
"Emillen","Hard Spider Leg Tip","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=1074","2017.12.10"
"Emillen","Ironweb Spider Silk","ffffffff","1","White","1","https://classicdb.ch/?item=14227","2017.12.10"
"Emillen","Arcanist Mantle","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16797","2018.01.14"
