"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Falassion","Eternal Sarong of Fiery Wrath","ff1eff00","1","Green","2","https://classicdb.ch/?item=14334","2018.01.21"
"Falassion","Rugged Hide","ffffffff","2","White","1","https://classicdb.ch/?item=8171","2018.01.11"
"Falassion","Essence of Fire","ff1eff00","9","Green","2","https://classicdb.ch/?item=7078","2018.02.01"
"Falassion","Superior Healing Potion","ffffffff","5","White","1","https://classicdb.ch/?item=3928","2017.12.24"
"Falassion","Greater Mana Potion","ffffffff","5","White","1","https://classicdb.ch/?item=6149","2017.12.24"
"Falassion","Plans: Thick Obsidian Breastplate","ff0070dd","1","Blue","3","https://classicdb.ch/?item=22222","2018.01.25"
"Falassion","Deeprock Salt","ffffffff","3","White","1","https://classicdb.ch/?item=8150","2017.12.28"
"Falassion","Alabaster Plate Leggings","ff1eff00","1","Green","2","https://classicdb.ch/?item=8318","2017.12.24"
"Falassion","Tapered Greatsword","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=13817","2017.12.24"
"Falassion","Stratholme Holy Water","ffffffff","8","White","1","https://classicdb.ch/?item=13180","2017.12.24"
"Falassion","Corruptor's Scourgestone","ff1eff00","4","Green","2","https://classicdb.ch/?item=12843","2017.12.24"
"Falassion","Major Healing Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13446","2017.12.24"
"Falassion","Brilliant Chromatic Scale","ff0070dd","1","Blue","3","https://classicdb.ch/?item=12607","2018.01.21"
"Falassion","Battlecaller Gauntlets","ff0070dd","1","Blue","3","https://classicdb.ch/?item=13126","2017.10.08"
"Falassion","Green Dragonscale","ffffffff","3","White","1","https://classicdb.ch/?item=15412","2018.01.11"
"Falassion","Cenarion Belt","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16828","2018.02.01"
"Falassion","Solid Stone","ffffffff","1","White","1","https://classicdb.ch/?item=7912","2017.10.08"
"Falassion","Small Obsidian Shard","ffffffff","1","White","1","https://classicdb.ch/?item=22202","2018.02.11"
"Falassion","Nightshade Gloves of the Whale","ff1eff00","1","Green","2","https://classicdb.ch/?item=10225","2017.12.28"
"Falassion","Codex: Prayer of Fortitude II","ff0070dd","1","Blue","3","https://classicdb.ch/?item=17414","2018.01.11"
"Falassion","Pattern: Felcloth Shoulders","ff1eff00","1","Green","2","https://classicdb.ch/?item=14508","2018.02.01"
"Falassion","Mighty Boots of the Monkey","ff1eff00","1","Green","2","https://classicdb.ch/?item=10146","2017.12.28"
"Falassion","Engraved Wall of the Bear","ff1eff00","1","Green","2","https://classicdb.ch/?item=10363","2017.12.28"
"Falassion","Fiery Core","ff0070dd","10","Blue","3","https://classicdb.ch/?item=17010","2017.12.28"
"Falassion","Ichor of Undeath","ffffffff","1","White","1","https://classicdb.ch/?item=7972","2017.12.24"
"Falassion","Lava Core","ff0070dd","3","Blue","3","https://classicdb.ch/?item=17011","2017.12.28"
"Falassion","Elemental Earth","ffffffff","2","White","1","https://classicdb.ch/?item=7067","2017.12.28"
"Falassion","Scarab Bag","ffffffff","1","White","1","https://classicdb.ch/?item=21156","2018.02.11"
"Falassion","Red Dragonscale","ffffffff","1","White","1","https://classicdb.ch/?item=15414","2018.01.21"
"Falassion","Idol of Rebirth","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20878","2018.02.11"
"Falassion","Idol of War","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20882","2018.02.11"
"Falassion","Red Sack of Gems","ff1eff00","1","Green","2","https://classicdb.ch/?item=17969","2018.01.21"
"Falassion","Black Dragonscale","ffffffff","25","White","1","https://classicdb.ch/?item=15416","2018.01.11"
"Falassion","Traveler's Backpack","ff1eff00","1","Green","2","https://classicdb.ch/?item=4500","2018.01.28"
"Falassion","Nightshade Spaulders of Intellect","ff1eff00","1","Green","2","https://classicdb.ch/?item=10228","2018.01.28"
"Falassion","Elemental Fire","ffffffff","3","White","1","https://classicdb.ch/?item=7068","2018.02.01"
"Falassion","Elemental Fire","ffffffff","3","White","1","https://classicdb.ch/?item=7068","2017.12.28"
"Falassion","Pattern: Mooncloth Vest","ff0070dd","1","Blue","3","https://classicdb.ch/?item=14501","2017.12.28"
"Falassion","Garrett Family Crest","ff0070dd","1","Blue","3","https://classicdb.ch/?item=13083","2017.12.28"
"Falassion","Armored Chitin","ff9d9d9d","7","Grey","0","https://classicdb.ch/?item=21222","2018.02.11"
"Falassion","Aquamarine","ff1eff00","1","Green","2","https://classicdb.ch/?item=7909","2018.01.28"
"Falassion","Arcanist Bindings","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16799","2017.12.28"
"Falassion","Ancient Qiraji Artifact","ffffffff","2","White","1","https://classicdb.ch/?item=21230","2018.02.11"
"Falassion","Direwing Legguards","ff0070dd","1","Blue","3","https://classicdb.ch/?item=13075","2018.01.28"
"Falassion","Nightshade Tunic of Intellect","ff1eff00","1","Green","2","https://classicdb.ch/?item=10220","2018.01.28"
"Falassion","Essence of Earth","ff1eff00","5","Green","2","https://classicdb.ch/?item=7076","2018.02.01"
"Falassion","Engraved Breastplate of Fire Resistance","ff1eff00","1","Green","2","https://classicdb.ch/?item=10230","2017.12.28"
"Falassion","Major Healing Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13446","2018.01.28"
"Falassion","Elementium Ore","ffa335ee","4","Epic","4","https://classicdb.ch/?item=18562","2018.01.28"
