"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Fleinders","Bloodfang Pants","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16909","2017.12.28"
"Fleinders","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2018.01.28"
"Fleinders","Laminated Scale Pants","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3997","2018.01.28"
"Fleinders","Aged Core Leather Gloves","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18823","2017.09.24"
"Fleinders","Core Hound Tooth","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18805","2017.10.01"
"Fleinders","Striker's Mark","ffa335ee","1","Epic","4","https://classicdb.ch/?item=17069","2017.09.17"
"Fleinders","Primal Hakkari Kossack","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19723","2017.10.06"
"Fleinders","Shadow Silk","ffffffff","1","White","1","https://classicdb.ch/?item=10285","2017.09.29"
"Fleinders","Dripping Spider Mandible","ff9d9d9d","6","Grey","0","https://classicdb.ch/?item=4585","2017.10.06"
"Fleinders","Powerful Mojo","ffffffff","2","White","1","https://classicdb.ch/?item=12804","2017.10.19"
"Fleinders","Nightslayer Gloves","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16826","2017.12.28"
"Fleinders","Wicked Claw","ffffffff","1","White","1","https://classicdb.ch/?item=8146","2017.10.06"
"Fleinders","Dripping Spider Mandible","ff9d9d9d","3","Grey","0","https://classicdb.ch/?item=4585","2017.09.29"
"Fleinders","Qiraji Lord's Insignia","ffffffff","5","White","1","https://classicdb.ch/?item=21229","2018.02.11"
"Fleinders","Onyxia Hide Backpack","ff1eff00","1","Green","2","https://classicdb.ch/?item=17966","2017.11.26"
"Fleinders","Forked Tongue","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=6444","2017.10.19"
"Fleinders","Evil Bat Eye","ffffffff","1","White","1","https://classicdb.ch/?item=11404","2017.09.29"
"Fleinders","Elder Raptor Feathers","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=20015","2017.10.19"
"Fleinders","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.10.19"
"Fleinders","Hard Spider Leg Tip","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=1074","2017.09.29"
"Fleinders","Ancient Qiraji Artifact","ffffffff","2","White","1","https://classicdb.ch/?item=21230","2018.02.11"
"Fleinders","Cloak of Firemaw","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19398","2018.01.11"
"Fleinders","Channeler's Head","ffffffff","1","White","1","https://classicdb.ch/?item=19881","2017.09.29"
"Fleinders","Bloodfang Boots","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16906","2017.09.21"
"Fleinders","Band of Accuria","ffa335ee","1","Epic","4","https://classicdb.ch/?item=17063","2018.01.28"
"Fleinders","Scroll of Intellect IV","ffffffff","1","White","1","https://classicdb.ch/?item=10308","2017.10.06"
"Fleinders","Bloodfang Hood","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16908","2017.10.06"
"Fleinders","Blooddrenched Leggings","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19889","2017.09.29"
"Fleinders","Scroll of Protection IV","ffffffff","1","White","1","https://classicdb.ch/?item=10305","2017.10.06"
"Fleinders","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2017.10.19"
