"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Freedom","Crude Scope","ffffffff","1","White","1","https://classicdb.ch/?item=4405","2018.03.11"
"Freedom","Rough Stone","ffffffff","1","White","1","https://classicdb.ch/?item=2835","2018.03.11"
"Freedom","Coarse Blasting Powder","ffffffff","1","White","1","https://classicdb.ch/?item=4364","2018.03.11"
"Freedom","Murloc Eye","ffffffff","1","White","1","https://classicdb.ch/?item=730","2018.03.11"
"Freedom","Copper Ore","ffffffff","3","White","1","https://classicdb.ch/?item=2770","2018.03.11"
"Freedom","Ice Cold Milk","ffffffff","1","White","1","https://classicdb.ch/?item=1179","2018.03.11"
"Freedom","Buzzer Blade","ffffffff","1","White","1","https://classicdb.ch/?item=2169","2018.03.11"
"Freedom","Dalaran Sharp","ffffffff","2","White","1","https://classicdb.ch/?item=414","2018.03.11"
"Freedom","Red Defias Mask","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=7997","2018.03.11"
"Freedom","Wool Cloth","ffffffff","8","White","1","https://classicdb.ch/?item=2592","2018.03.11"
"Freedom","Linen Cloth","ffffffff","10","White","1","https://classicdb.ch/?item=2589","2018.03.11"
"Freedom","Minor Mana Potion","ffffffff","1","White","1","https://classicdb.ch/?item=2455","2018.03.11"
"Freedom","Tin Ore","ffffffff","3","White","1","https://classicdb.ch/?item=2771","2018.03.11"
"Freedom","Bronze Tube","ffffffff","1","White","1","https://classicdb.ch/?item=4371","2018.03.11"
"Freedom","Scroll of Intellect","ffffffff","1","White","1","https://classicdb.ch/?item=955","2018.03.11"
"Freedom","An Unsent Letter","ffffffff","1","White","1","https://classicdb.ch/?item=2874","2018.03.11"
"Freedom","Lesser Healing Potion","ffffffff","2","White","1","https://classicdb.ch/?item=858","2018.03.11"
"Freedom","Chipped Quarterstaff","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=1813","2018.03.11"
