"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Gaff","Pure Elementium Band","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19382","2017.12.03"
"Gaff","Runecloth","ffffffff","3","White","1","https://classicdb.ch/?item=14047","2017.10.15"
"Gaff","Shadow Silk","ffffffff","1","White","1","https://classicdb.ch/?item=10285","2017.10.15"
"Gaff","Major Mana Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13444","2017.10.05"
"Gaff","Boots of Transcendence","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16919","2017.09.28"
"Gaff","Essence of Water","ff1eff00","1","Green","2","https://classicdb.ch/?item=7080","2017.09.18"
"Gaff","Codex of Renew X","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21285","2017.12.26"
"Gaff","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2018.01.11"
"Gaff","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2017.09.18"
"Gaff","Overlinked Chain Boots","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4001","2017.09.18"
"Gaff","Burning Pitch","ff9d9d9d","3","Grey","0","https://classicdb.ch/?item=4787","2017.10.15"
"Gaff","Heart of Fire","ffffffff","1","White","1","https://classicdb.ch/?item=7077","2017.12.28"
"Gaff","Major Mana Potion","ffffffff","2","White","1","https://classicdb.ch/?item=13444","2017.12.28"
"Gaff","Broken Silithid Chitin","ff9d9d9d","7","Grey","0","https://classicdb.ch/?item=20499","2017.12.29"
"Gaff","Swamp Ring of the Monkey","ff1eff00","1","Green","2","https://classicdb.ch/?item=12015","2017.11.30"
"Gaff","Ornate Legguards of Agility","ff1eff00","1","Green","2","https://classicdb.ch/?item=10124","2017.12.14"
"Gaff","Silithid Chitin","ffffffff","3","White","1","https://classicdb.ch/?item=20498","2017.12.29"
"Gaff","Major Mana Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13444","2017.09.21"
"Gaff","Qiraji Lord's Insignia","ffffffff","5","White","1","https://classicdb.ch/?item=21229","2018.02.11"
"Gaff","Rugged Leather","ffffffff","1","White","1","https://classicdb.ch/?item=8170","2017.09.21"
"Gaff","Black Dragonscale","ffffffff","1","White","1","https://classicdb.ch/?item=15416","2017.09.21"
"Gaff","Roasted Quail","ffffffff","2","White","1","https://classicdb.ch/?item=8952","2017.09.21"
"Gaff","Ancient Qiraji Artifact","ffffffff","2","White","1","https://classicdb.ch/?item=21230","2018.02.11"
"Gaff","Plans: Thorium Leggings","ff1eff00","1","Green","2","https://classicdb.ch/?item=12704","2017.11.12"
"Gaff","Rugged Hide","ffffffff","1","White","1","https://classicdb.ch/?item=8171","2018.01.21"
"Gaff","Essence of Earth","ff1eff00","1","Green","2","https://classicdb.ch/?item=7076","2017.09.18"
"Gaff","Heavy Leather","ffffffff","1","White","1","https://classicdb.ch/?item=4234","2017.10.15"
"Gaff","Qiraji Ornate Hilt","ffa335ee","1","Epic","4","https://classicdb.ch/?item=20890","2017.12.26"
"Gaff","Codex of Greater Heal V","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21284","2017.12.29"
"Gaff","Head of Ossirian the Unscarred","ffa335ee","1","Epic","4","https://classicdb.ch/?item=21220","2017.12.26"
"Gaff","Heavy Silithid Carapace","ffffffff","1","White","1","https://classicdb.ch/?item=20501","2017.12.26"
"Gaff","Abyssal Scepter","ffa335ee","3","Epic","4","https://classicdb.ch/?item=20515","2017.09.18"
"Gaff","Major Mana Potion","ffffffff","2","White","1","https://classicdb.ch/?item=13444","2018.01.21"
