"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Gafftroll","Thorium Ore","ffffffff","4","White","1","https://classicdb.ch/?item=10620","2017.12.04"
"Gafftroll","Crusader's Helm of the Eagle","ff1eff00","1","Green","2","https://classicdb.ch/?item=10198","2017.09.23"
"Gafftroll","Crochet Hat","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=8749","2017.09.20"
"Gafftroll","Sabertooth Fang","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4580","2017.12.04"
"Gafftroll","Wicked Claw","ffffffff","1","White","1","https://classicdb.ch/?item=8146","2017.12.04"
"Gafftroll","Large Bat Fang","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=11403","2017.12.04"
"Gafftroll","Dense Stone","ffffffff","1","White","1","https://classicdb.ch/?item=12365","2017.12.04"
"Gafftroll","Souldarite","ff1eff00","2","Green","2","https://classicdb.ch/?item=19774","2017.12.04"
"Gafftroll","Sabertooth Fang","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=4580","2017.09.22"
"Gafftroll","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.09.22"
"Gafftroll","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.09.19"
"Gafftroll","Evil Bat Eye","ffffffff","1","White","1","https://classicdb.ch/?item=11404","2017.09.19"
"Gafftroll","Elder Raptor Feathers","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=20015","2017.12.04"
"Gafftroll","Dark Iron Residue","ffffffff","3","White","1","https://classicdb.ch/?item=18945","2017.09.23"
"Gafftroll","Roasted Quail","ffffffff","2","White","1","https://classicdb.ch/?item=8952","2017.12.21"
"Gafftroll","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2017.09.20"
"Gafftroll","Evil Bat Eye","ffffffff","1","White","1","https://classicdb.ch/?item=11404","2017.09.22"
"Gafftroll","Runecloth","ffffffff","3","White","1","https://classicdb.ch/?item=14047","2017.09.23"
"Gafftroll","Wicked Claw","ffffffff","1","White","1","https://classicdb.ch/?item=8146","2017.09.22"
