"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Gnomesicle","Lifeless Stone","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=4784","2017.09.17"
"Gnomesicle","Armored Chitin","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=21222","2017.12.24"
"Gnomesicle","Kurinnaxx's Venom Sac","ffffffff","1","White","1","https://classicdb.ch/?item=22217","2018.02.06"
"Gnomesicle","Qiraji Lord's Insignia","ffffffff","2","White","1","https://classicdb.ch/?item=21229","2017.12.28"
"Gnomesicle","Tome of Fireball XII","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21279","2018.02.06"
"Gnomesicle","Burning Pitch","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4787","2017.09.17"
"Gnomesicle","Ancient Qiraji Artifact","ffffffff","3","White","1","https://classicdb.ch/?item=21230","2017.12.24"
"Gnomesicle","Heavy Silithid Husk","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=21225","2017.12.24"
"Gnomesicle","Leggings of the Black Blizzard","ffa335ee","1","Epic","4","https://classicdb.ch/?item=21461","2018.02.06"
"Gnomesicle","Qiraji Lord's Insignia","ffffffff","2","White","1","https://classicdb.ch/?item=21229","2017.12.24"
