"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Gnozina","Runecloth","ffffffff","4","White","1","https://classicdb.ch/?item=14047","2017.10.05"
"Gnozina","Field Plate Boots of the Whale","ff1eff00","1","Green","2","https://classicdb.ch/?item=9289","2017.10.05"
"Gnozina","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2017.10.05"
"Gnozina","Mageweave Cloth","ffffffff","1","White","1","https://classicdb.ch/?item=4338","2017.10.05"
"Gnozina","Warmonger's Chestpiece of the Whale","ff1eff00","1","Green","2","https://classicdb.ch/?item=9957","2017.10.05"
"Gnozina","Deflecting Tower","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3987","2017.10.05"
"Gnozina","Dreamfoil","ffffffff","1","White","1","https://classicdb.ch/?item=13463","2017.09.22"
"Gnozina","Qiraji Lord's Insignia","ffffffff","3","White","1","https://classicdb.ch/?item=21229","2018.01.25"
"Gnozina","Superior Mana Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13443","2017.11.30"
"Gnozina","Runecloth","ffffffff","2","White","1","https://classicdb.ch/?item=14047","2018.02.15"
"Gnozina","Green Qiraji Resonating Crystal","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21323","2018.01.04"
"Gnozina","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.09.22"
"Gnozina","Laminated Scale Gloves","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3996","2017.10.05"
"Gnozina","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2018.02.09"
"Gnozina","Brilliant Scale","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=6826","2018.02.09"
"Gnozina","Ancient Qiraji Artifact","ffffffff","1","White","1","https://classicdb.ch/?item=21230","2018.01.04"
"Gnozina","Unadorned Seal of Ascension","ffffffff","1","White","1","https://classicdb.ch/?item=12219","2017.12.14"
"Gnozina","Scroll of Protection IV","ffffffff","1","White","1","https://classicdb.ch/?item=10305","2017.12.14"
"Gnozina","Ancient Qiraji Artifact","ffffffff","7","White","1","https://classicdb.ch/?item=21230","2018.01.25"
"Gnozina","Witherbark Coin","ff1eff00","1","Green","2","https://classicdb.ch/?item=19703","2018.02.09"
"Gnozina","Dried King Bolete","ffffffff","1","White","1","https://classicdb.ch/?item=8948","2018.02.09"
"Gnozina","Imperial Qiraji Regalia","ffa335ee","1","Epic","4","https://classicdb.ch/?item=21237","2018.01.25"
"Gnozina","Scroll of Strength III","ffffffff","1","White","1","https://classicdb.ch/?item=4426","2018.02.15"
"Gnozina","Five of Elementals","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19272","2018.02.09"
"Gnozina","Runecloth","ffffffff","2","White","1","https://classicdb.ch/?item=14047","2017.11.16"
"Gnozina","Ring of Spell Power","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19147","2017.09.24"
"Gnozina","Onyxia Hide Backpack","ff1eff00","1","Green","2","https://classicdb.ch/?item=17966","2017.10.12"
"Gnozina","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2018.01.11"
"Gnozina","Ancient Qiraji Artifact","ffffffff","6","White","1","https://classicdb.ch/?item=21230","2018.01.18"
"Gnozina","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2017.11.30"
"Gnozina","Nemesis Gloves","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16928","2017.11.16"
"Gnozina","Ebony Flame Gloves","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19407","2017.11.16"
"Gnozina","Major Healing Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13446","2017.12.21"
