"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Grundig","Hakkari Coin","ff1eff00","1","Green","2","https://classicdb.ch/?item=19700","2018.01.05"
"Grundig","Razzashi Coin","ff1eff00","1","Green","2","https://classicdb.ch/?item=19699","2018.01.05"
"Grundig","Blue Qiraji Resonating Crystal","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21218","2018.02.11"
"Grundig","Thorium Ore","ffffffff","5","White","1","https://classicdb.ch/?item=10620","2017.10.06"
"Grundig","Evil Bat Eye","ffffffff","1","White","1","https://classicdb.ch/?item=11404","2017.09.29"
"Grundig","Large Bat Fang","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=11403","2017.12.28"
"Grundig","Dripping Spider Mandible","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4585","2018.01.05"
"Grundig","Primal Hakkari Shawl","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19721","2017.09.29"
"Grundig","Purple Lotus","ffffffff","1","White","1","https://classicdb.ch/?item=8831","2018.01.05"
"Grundig","Peacekeeper Boots","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20265","2018.01.05"
"Grundig","Evil Bat Eye","ffffffff","1","White","1","https://classicdb.ch/?item=11404","2018.01.05"
"Grundig","Overlinked Coif","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=8751","2017.09.18"
"Grundig","Runecloth","ffffffff","3","White","1","https://classicdb.ch/?item=14047","2017.09.18"
"Grundig","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.09.29"
"Grundig","Massive Mojo","ffffffff","1","White","1","https://classicdb.ch/?item=19943","2017.09.29"
"Grundig","Patch of Fine Fur","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4581","2017.09.29"
"Grundig","Scroll of Intellect IV","ffffffff","1","White","1","https://classicdb.ch/?item=10308","2017.09.18"
"Grundig","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2018.02.09"
"Grundig","Judgement Bindings","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16951","2017.11.16"
"Grundig","Major Mana Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13444","2017.09.18"
"Grundig","Sayge's Fortune #21","ffffffff","1","White","1","https://classicdb.ch/?item=19254","2017.10.06"
"Grundig","Large Bat Fang","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=11403","2017.10.06"
"Grundig","Ironweb Spider Silk","ffffffff","1","White","1","https://classicdb.ch/?item=14227","2017.09.29"
"Grundig","Evil Bat Eye","ffffffff","1","White","1","https://classicdb.ch/?item=11404","2017.10.06"
"Grundig","Wicked Claw","ffffffff","1","White","1","https://classicdb.ch/?item=8146","2017.10.06"
"Grundig","Wicked Claw","ffffffff","1","White","1","https://classicdb.ch/?item=8146","2018.01.05"
"Grundig","Dripping Spider Mandible","ff9d9d9d","3","Grey","0","https://classicdb.ch/?item=4585","2017.09.29"
"Grundig","Sabertooth Fang","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4580","2017.10.19"
"Grundig","Roasted Quail","ffffffff","2","White","1","https://classicdb.ch/?item=8952","2017.09.18"
"Grundig","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.10.06"
"Grundig","Elder Raptor Feathers","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=20015","2017.09.29"
"Grundig","Encrypted Twilight Text","ffffffff","1","White","1","https://classicdb.ch/?item=20404","2017.09.18"
"Grundig","Skullsplitter Coin","ff1eff00","1","Green","2","https://classicdb.ch/?item=19705","2018.01.05"
"Grundig","Helm of the Lifegiver","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18870","2017.12.14"
"Grundig","Ancient Qiraji Artifact","ffffffff","1","White","1","https://classicdb.ch/?item=21230","2018.01.04"
"Grundig","Imperial Red Robe","ff1eff00","1","Green","2","https://classicdb.ch/?item=8252","2018.01.02"
"Grundig","Belt of the Inquisition","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21500","2018.02.09"
"Grundig","Pattern: Frostweave Pants","ff1eff00","1","Green","2","https://classicdb.ch/?item=14489","2018.01.02"
"Grundig","Powerful Mojo","ffffffff","1","White","1","https://classicdb.ch/?item=12804","2018.02.09"
"Grundig","Large Bat Fang","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=11403","2017.10.19"
"Grundig","Judgement Belt","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16952","2017.09.21"
"Grundig","Dripping Spider Mandible","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4585","2018.02.09"
"Grundig","Onyxia Hide Backpack","ff1eff00","1","Green","2","https://classicdb.ch/?item=17966","2017.11.16"
"Grundig","Evil Bat Eye","ffffffff","1","White","1","https://classicdb.ch/?item=11404","2017.10.02"
"Grundig","Libram: Blessing of Wisdom VI","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21288","2017.12.29"
"Grundig","Large Bat Fang","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=11403","2017.10.02"
