"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Helitheus","Girdle of the Fallen Crusader","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19392","2017.12.21"
"Helitheus","Drake Talon Pauldrons","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19394","2017.12.21"
"Helitheus","Scroll of Spirit IV","ffffffff","1","White","1","https://classicdb.ch/?item=10306","2017.11.17"
"Helitheus","Obsidian Edged Blade","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18822","2017.12.10"
"Helitheus","Ancient Qiraji Artifact","ffffffff","1","White","1","https://classicdb.ch/?item=21230","2018.01.04"
"Helitheus","Core Hound Tooth","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18805","2017.12.28"
"Helitheus","Blastershot Launcher","ffa335ee","1","Epic","4","https://classicdb.ch/?item=17072","2017.12.28"
"Helitheus","Helm of Might","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16866","2017.12.10"
"Helitheus","Dark Iron Ore","ffffffff","3","White","1","https://classicdb.ch/?item=11370","2017.12.10"
"Helitheus","Legplates of Might","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16867","2017.11.19"
"Helitheus","Wristguards of Stability","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19146","2017.12.28"
"Helitheus","Sabatons of Might","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16862","2017.12.03"
"Helitheus","Heavy Scorpid Scale","ffffffff","1","White","1","https://classicdb.ch/?item=15408","2017.11.12"
"Helitheus","Channeler's Head","ffffffff","1","White","1","https://classicdb.ch/?item=19881","2017.11.17"
"Helitheus","Dragon's Blood Cape","ffa335ee","1","Epic","4","https://classicdb.ch/?item=17107","2017.12.03"
"Helitheus","Pauldrons of Might","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16868","2017.12.03"
"Helitheus","Waistband of Wrath","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16960","2017.12.28"
"Helitheus","Head of Nefarian","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19003","2018.01.07"
"Helitheus","Hard Spider Leg Tip","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=1074","2017.11.17"
"Helitheus","Spinal Reaper","ffa335ee","1","Epic","4","https://classicdb.ch/?item=17104","2017.11.12"
"Helitheus","Dark Iron Ore","ffffffff","5","White","1","https://classicdb.ch/?item=11370","2017.12.03"
"Helitheus","Doom's Edge","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19362","2017.12.28"
"Helitheus","Runecloth","ffffffff","2","White","1","https://classicdb.ch/?item=14047","2017.11.17"
"Helitheus","Dripping Spider Mandible","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=4585","2017.11.17"
"Helitheus","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.11.12"
