"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Jaypeemorgan","Crochet Pants","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3941","2017.10.02"
"Jaypeemorgan","Black Diamond","ff1eff00","1","Green","2","https://classicdb.ch/?item=11754","2017.10.02"
"Jaypeemorgan","Runecloth","ffffffff","11","White","1","https://classicdb.ch/?item=14047","2017.10.02"
"Jaypeemorgan","Dark Iron Residue","ffffffff","12","White","1","https://classicdb.ch/?item=18945","2017.10.02"
"Jaypeemorgan","Scroll of Strength III","ffffffff","1","White","1","https://classicdb.ch/?item=4426","2017.10.02"
"Jaypeemorgan","Elemental Fire","ffffffff","1","White","1","https://classicdb.ch/?item=7068","2017.10.02"
"Jaypeemorgan","Emperor's Seal of the Owl","ff0070dd","1","Blue","3","https://classicdb.ch/?item=11934","2017.10.02"
"Jaypeemorgan","Dreadforge Retaliator","ff0070dd","1","Blue","3","https://classicdb.ch/?item=11931","2017.10.02"
"Jaypeemorgan","Hands of the Exalted Herald","ff0070dd","1","Blue","3","https://classicdb.ch/?item=12554","2017.10.02"
"Jaypeemorgan","Blunting Mace","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4021","2017.10.02"
"Jaypeemorgan","Homemade Cherry Pie","ffffffff","1","White","1","https://classicdb.ch/?item=8950","2017.10.02"
