"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Jimbaws","Quicksand Waders","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21489","2018.02.09"
"Jimbaws","Dripping Spider Mandible","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4585","2017.11.17"
"Jimbaws","Manslayer of the Qiraji","ffa335ee","1","Epic","4","https://classicdb.ch/?item=21492","2018.02.09"
"Jimbaws","Patch of Fine Fur","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4581","2017.10.19"
"Jimbaws","Ancient Qiraji Artifact","ffffffff","3","White","1","https://classicdb.ch/?item=21230","2018.02.11"
"Jimbaws","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2017.12.17"
"Jimbaws","Twill Pants","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3949","2017.12.17"
"Jimbaws","Lifeless Stone","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4784","2017.10.01"
"Jimbaws","Hero's Boots","ff1eff00","1","Green","2","https://classicdb.ch/?item=8307","2017.09.17"
"Jimbaws","Dark Iron Ore","ffffffff","24","White","1","https://classicdb.ch/?item=11370","2017.09.03"
"Jimbaws","Forked Tongue","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=6444","2017.10.02"
"Jimbaws","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2017.12.07"
"Jimbaws","Thick Leather Gloves","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3965","2017.12.17"
"Jimbaws","Large Bat Fang","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=11403","2017.11.17"
"Jimbaws","Laminated Scale Gloves","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3996","2017.11.30"
"Jimbaws","Thick Leather Gloves","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3965","2017.11.30"
"Jimbaws","Sabertooth Fang","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=4580","2017.10.19"
"Jimbaws","Core Forged Greaves","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18806","2017.10.01"
"Jimbaws","Hard Spider Leg Tip","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=1074","2017.10.19"
"Jimbaws","Bloodscalp Coin","ff1eff00","1","Green","2","https://classicdb.ch/?item=19706","2018.01.30"
"Jimbaws","Manual of Revenge VI","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21299","2018.01.09"
"Jimbaws","Boots of the Desert Protector","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21481","2018.02.09"
"Jimbaws","Manual of Battle Shout VII","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21298","2018.01.09"
"Jimbaws","Dark Iron Ore","ffffffff","4","White","1","https://classicdb.ch/?item=11370","2017.10.01"
"Jimbaws","Pendant of the Qiraji Guardian","ffa335ee","1","Epic","4","https://classicdb.ch/?item=21700","2018.02.11"
"Jimbaws","Arcane Crystal","ff1eff00","1","Green","2","https://classicdb.ch/?item=12363","2017.10.02"
"Jimbaws","Large Bat Fang","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=11403","2017.10.19"
"Jimbaws","Primal Hakkari Armsplint","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19717","2017.09.29"
"Jimbaws","Thorium Ore","ffffffff","4","White","1","https://classicdb.ch/?item=10620","2017.10.02"
"Jimbaws","Evil Bat Eye","ffffffff","1","White","1","https://classicdb.ch/?item=11404","2017.10.02"
"Jimbaws","Hand of Lucifron","ffffffff","1","White","1","https://classicdb.ch/?item=17329","2017.09.03"
"Jimbaws","Powerful Mojo","ffffffff","1","White","1","https://classicdb.ch/?item=12804","2017.09.29"
"Jimbaws","Green Hakkari Bijou","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19711","2018.01.30"
"Jimbaws","Powerful Mojo","ffffffff","1","White","1","https://classicdb.ch/?item=12804","2017.12.17"
"Jimbaws","Qiraji Spiked Hilt","ffa335ee","1","Epic","4","https://classicdb.ch/?item=20886","2018.02.09"
"Jimbaws","Large Bat Fang","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=11403","2017.10.02"
"Jimbaws","Earthshaker","ffa335ee","1","Epic","4","https://classicdb.ch/?item=17073","2017.10.01"
"Jimbaws","Twill Belt","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3944","2017.12.17"
"Jimbaws","Hard Spider Leg Tip","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=1074","2017.11.17"
