"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Jinxed","Lawbringer Gauntlets","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16860","2018.01.21"
"Jinxed","Salamander Scale Pants","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18875","2018.01.21"
"Jinxed","Lawbringer Legplates","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16855","2018.01.21"
"Jinxed","Ancient Qiraji Artifact","ffffffff","6","White","1","https://classicdb.ch/?item=21230","2018.01.18"
"Jinxed","Lawbringer Chestguard","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16853","2018.01.21"
"Jinxed","Judgement Gauntlets","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16956","2018.01.28"
"Jinxed","Qiraji Lord's Insignia","ffffffff","4","White","1","https://classicdb.ch/?item=21229","2018.01.18"
"Jinxed","Dripping Spider Mandible","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4585","2017.12.17"
"Jinxed","Yellow Qiraji Resonating Crystal","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21324","2018.01.18"
"Jinxed","Azuresong Mageblade","ffa335ee","1","Epic","4","https://classicdb.ch/?item=17103","2018.01.28"
"Jinxed","Ancient Qiraji Artifact","ffffffff","1","White","1","https://classicdb.ch/?item=21230","2018.01.04"
"Jinxed","Boots of Pure Thought","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19437","2017.12.28"
"Jinxed","Herald of Woe","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19357","2018.01.21"
"Jinxed","Draconic Maul","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19358","2017.12.28"
"Jinxed","Overlord's Onyx Band","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19912","2017.12.17"
"Jinxed","Libram: Holy Light IX","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21290","2018.01.19"
