"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Kissitbetter","Major Mana Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13444","2018.02.15"
"Kissitbetter","Boots of Pure Thought","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19437","2018.01.28"
"Kissitbetter","Rugged Leather","ffffffff","8","White","1","https://classicdb.ch/?item=8170","2018.01.02"
"Kissitbetter","Handguards of Transcendence","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16920","2018.02.08"
"Kissitbetter","Bindings of Transcendence","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16926","2018.01.11"
"Kissitbetter","Bindings of Transcendence","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16926","2018.01.28"
"Kissitbetter","Pendant of the Fallen Dragon","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19371","2018.02.08"
"Kissitbetter","Qiraji Lord's Insignia","ffffffff","4","White","1","https://classicdb.ch/?item=21229","2018.01.25"
"Kissitbetter","Sayge's Fortune #28","ffffffff","1","White","1","https://classicdb.ch/?item=19453","2018.02.08"
"Kissitbetter","Ancient Qiraji Artifact","ffffffff","1","White","1","https://classicdb.ch/?item=21230","2018.01.04"
"Kissitbetter","Boots of Transcendence","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16919","2018.01.28"
"Kissitbetter","Qiraji Lord's Insignia","ffffffff","3","White","1","https://classicdb.ch/?item=21229","2018.01.18"
"Kissitbetter","Major Mana Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13444","2018.01.11"
"Kissitbetter","Onyxia Hide Backpack","ff1eff00","1","Green","2","https://classicdb.ch/?item=17966","2018.01.14"
"Kissitbetter","Green Qiraji Resonating Crystal","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21323","2018.01.04"
"Kissitbetter","Essence Gatherer","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19435","2018.01.11"
"Kissitbetter","Qiraji Lord's Insignia","ffffffff","5","White","1","https://classicdb.ch/?item=21229","2018.02.11"
"Kissitbetter","Robes of Transcendence","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16923","2018.01.28"
"Kissitbetter","Ancient Qiraji Artifact","ffffffff","4","White","1","https://classicdb.ch/?item=21230","2018.01.25"
"Kissitbetter","Mantle of Prophecy","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16816","2018.01.14"
"Kissitbetter","Ancient Qiraji Artifact","ffffffff","5","White","1","https://classicdb.ch/?item=21230","2018.01.18"
"Kissitbetter","Gloves of Prophecy","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16812","2018.01.14"
"Kissitbetter","Circlet of Prophecy","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16813","2018.01.28"
"Kissitbetter","Sabertooth Fang","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4580","2018.01.02"
"Kissitbetter","Primal Tiger Leather","ffffffff","1","White","1","https://classicdb.ch/?item=19768","2018.01.02"
"Kissitbetter","Heart of Hakkar","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19802","2018.01.02"
"Kissitbetter","Core Leather","ffffffff","2","White","1","https://classicdb.ch/?item=17012","2018.01.21"
"Kissitbetter","Ancient Qiraji Artifact","ffffffff","1","White","1","https://classicdb.ch/?item=21230","2018.02.11"
