"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Klio","Black Stone","ff9d9d9d","4","Grey","0","https://classicdb.ch/?item=21223","2018.02.06"
"Klio","Runic Stone","ff9d9d9d","3","Grey","0","https://classicdb.ch/?item=21226","2018.02.06"
"Klio","Scarab Coffer Key","ffffffff","1","White","1","https://classicdb.ch/?item=21761","2018.02.06"
"Klio","Stone Scarab","ff1eff00","1","Green","2","https://classicdb.ch/?item=20858","2018.02.06"
"Klio","Clay Scarab","ff1eff00","1","Green","2","https://classicdb.ch/?item=20863","2018.02.06"
"Klio","Huge Venom Sac","ffffffff","1","White","1","https://classicdb.ch/?item=19441","2018.02.06"
"Klio","Bow of Taut Sinew","ffa335ee","1","Epic","4","https://classicdb.ch/?item=21478","2018.02.06"
"Klio","Kurinnaxx's Venom Sac","ffffffff","1","White","1","https://classicdb.ch/?item=22217","2018.02.06"
"Klio","Ancient Armor Fragment","ff9d9d9d","4","Grey","0","https://classicdb.ch/?item=21224","2018.02.06"
"Klio","Armored Chitin","ff9d9d9d","15","Grey","0","https://classicdb.ch/?item=21222","2018.02.06"
