"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Koiraa","Blue Qiraji Resonating Crystal","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21218","2017.12.24"
"Koiraa","Qiraji Lord's Insignia","ffffffff","2","White","1","https://classicdb.ch/?item=21229","2017.12.24"
"Koiraa","Ancient Qiraji Artifact","ffffffff","2","White","1","https://classicdb.ch/?item=21230","2017.12.24"
"Koiraa","Qiraji Lord's Insignia","ffffffff","2","White","1","https://classicdb.ch/?item=21229","2017.12.28"
"Koiraa","Wicked Claw","ffffffff","1","White","1","https://classicdb.ch/?item=8146","2017.07.02"
"Koiraa","Arcanist Bindings","ffa335ee","2","Epic","4","https://classicdb.ch/?item=16799","2017.07.02"
"Koiraa","Elemental Earth","ffffffff","1","White","1","https://classicdb.ch/?item=7067","2017.08.27"
"Koiraa","Coal","ffffffff","3","White","1","https://classicdb.ch/?item=3857","2017.08.27"
"Koiraa","Vambraces of Prophecy","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16819","2017.08.27"
"Koiraa","Lava Core","ff0070dd","5","Blue","3","https://classicdb.ch/?item=17011","2017.07.02"
"Koiraa","Elemental Fire","ffffffff","4","White","1","https://classicdb.ch/?item=7068","2017.07.02"
"Koiraa","Burning Pitch","ff9d9d9d","7","Grey","0","https://classicdb.ch/?item=4787","2017.07.02"
"Koiraa","Solid Stone","ffffffff","8","White","1","https://classicdb.ch/?item=7912","2017.08.27"
"Koiraa","Arcane Star","ff1eff00","1","Green","2","https://classicdb.ch/?item=15931","2017.07.02"
"Koiraa","Fiery Core","ff0070dd","7","Blue","3","https://classicdb.ch/?item=17010","2017.07.02"
"Koiraa","Heart of Fire","ffffffff","2","White","1","https://classicdb.ch/?item=7077","2017.08.13"
"Koiraa","Fiery Core","ff0070dd","8","Blue","3","https://classicdb.ch/?item=17010","2017.08.27"
"Koiraa","Eternium Lockbox","ff1eff00","3","Green","2","https://classicdb.ch/?item=5760","2017.08.27"
"Koiraa","Coal","ffffffff","3","White","1","https://classicdb.ch/?item=3857","2017.07.02"
"Koiraa","Essence of Earth","ff1eff00","7","Green","2","https://classicdb.ch/?item=7076","2017.08.27"
