"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Lezy","Felheart Shoulder Pads","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16807","2017.09.17"
"Lezy","Felheart Slippers","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16803","2017.09.17"
"Lezy","Nemesis Skullcap","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16929","2017.09.17"
"Lezy","Deeprock Salt","ffffffff","1","White","1","https://classicdb.ch/?item=8150","2017.10.01"
"Lezy","Earthroot","ffffffff","1","White","1","https://classicdb.ch/?item=2449","2017.08.27"
"Lezy","Nemesis Spaulders","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16932","2017.09.21"
"Lezy","Sorcerous Dagger","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18878","2017.09.17"
"Lezy","Evil Bat Eye","ffffffff","2","White","1","https://classicdb.ch/?item=11404","2017.10.10"
"Lezy","Hard Spider Leg Tip","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=1074","2017.10.10"
"Lezy","Powerful Mojo","ffffffff","1","White","1","https://classicdb.ch/?item=12804","2017.10.10"
"Lezy","Large Bat Fang","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=11403","2017.10.10"
"Lezy","Primal Hakkari Armsplint","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19717","2017.09.22"
"Lezy","Large Bat Fang","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=11403","2017.09.22"
"Lezy","Shadow Silk","ffffffff","1","White","1","https://classicdb.ch/?item=10285","2017.10.10"
"Lezy","Forked Tongue","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=6444","2017.10.10"
"Lezy","Jin'do's Bag of Whammies","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19891","2017.09.22"
"Lezy","Dried King Bolete","ffffffff","1","White","1","https://classicdb.ch/?item=8948","2017.10.10"
"Lezy","Dripping Spider Mandible","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4585","2017.09.22"
"Lezy","Dripping Spider Mandible","ff9d9d9d","3","Grey","0","https://classicdb.ch/?item=4585","2017.10.10"
"Lezy","Scroll of Spirit IV","ffffffff","1","White","1","https://classicdb.ch/?item=10306","2017.10.10"
"Lezy","Wicked Claw","ffffffff","1","White","1","https://classicdb.ch/?item=8146","2017.09.22"
"Lezy","Punctured Voodoo Doll","ff1eff00","1","Green","2","https://classicdb.ch/?item=19819","2017.09.22"
