"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Lite","Robes of Transcendence","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16923","2017.12.28"
"Lite","Stratholme Holy Water","ffffffff","1","White","1","https://classicdb.ch/?item=13180","2017.08.26"
"Lite","Major Mana Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13444","2017.08.26"
"Lite","Scarlet Cannonball","ffffffff","3","White","1","https://classicdb.ch/?item=12973","2017.08.26"
"Lite","Codex of Renew X","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21285","2017.12.26"
"Lite","Smooth Leather Pants","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3974","2017.08.26"
"Lite","Dripping Spider Mandible","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4585","2018.01.05"
"Lite","Light Plate Chestpiece","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=8080","2017.08.26"
"Lite","Greater Mana Potion","ffffffff","6","White","1","https://classicdb.ch/?item=6149","2017.08.26"
"Lite","Morning Glory Dew","ffffffff","6","White","1","https://classicdb.ch/?item=8766","2017.08.26"
"Lite","Boots of Transcendence","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16919","2017.12.28"
"Lite","Ancient Armor Fragment","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=21224","2017.12.26"
"Lite","Armored Chitin","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=21222","2017.12.26"
"Lite","Superior Healing Potion","ffffffff","5","White","1","https://classicdb.ch/?item=3928","2017.08.26"
"Lite","Ancient Qiraji Artifact","ffffffff","1","White","1","https://classicdb.ch/?item=21230","2018.01.04"
"Lite","Major Mana Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13444","2017.12.28"
"Lite","Clout Mace","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=13820","2017.08.26"
"Lite","Traveler's Backpack","ff1eff00","1","Green","2","https://classicdb.ch/?item=4500","2017.08.26"
"Lite","Bulky Maul","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=13821","2017.08.26"
"Lite","Scroll of Agility IV","ffffffff","1","White","1","https://classicdb.ch/?item=10309","2017.08.26"
"Lite","Essence Gatherer","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19435","2017.12.28"
"Lite","Light Plate Boots","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=8082","2017.08.26"
"Lite","Winter Veil Eggnog","ffffffff","1","White","1","https://classicdb.ch/?item=21241","2017.12.26"
"Lite","Runecloth","ffffffff","6","White","1","https://classicdb.ch/?item=14047","2017.08.26"
"Lite","Primal Hakkari Sash","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19720","2018.01.05"
"Lite","Sabertooth Fang","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4580","2018.01.05"
"Lite","Heavy Silithid Husk","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=21225","2017.12.26"
