"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Lonis","Gauntlets of Might","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16863","2017.10.01"
"Lonis","Skullsplitter Coin","ff1eff00","1","Green","2","https://classicdb.ch/?item=19705","2017.10.10"
"Lonis","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2017.10.10"
"Lonis","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.10.10"
"Lonis","Scroll of Spirit IV","ffffffff","1","White","1","https://classicdb.ch/?item=10306","2017.10.05"
"Lonis","Head of Onyxia","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18423","2017.10.06"
"Lonis","Doom's Edge","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19362","2017.10.12"
"Lonis","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.10.06"
"Lonis","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.10.14"
"Lonis","Souldarite","ff1eff00","2","Green","2","https://classicdb.ch/?item=19774","2017.10.10"
"Lonis","Dripping Spider Mandible","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4585","2017.10.06"
"Lonis","Hakkari Coin","ff1eff00","1","Green","2","https://classicdb.ch/?item=19700","2017.10.06"
"Lonis","Dense Stone","ffffffff","1","White","1","https://classicdb.ch/?item=12365","2017.10.10"
"Lonis","Thorium Ore","ffffffff","3","White","1","https://classicdb.ch/?item=10620","2017.10.10"
"Lonis","Bloodscalp Coin","ff1eff00","1","Green","2","https://classicdb.ch/?item=19706","2017.10.10"
"Lonis","Blue Hakkari Bijou","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19708","2017.10.06"
"Lonis","Blooddrenched Footpads","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19906","2017.10.10"
"Lonis","Coal","ffffffff","1","White","1","https://classicdb.ch/?item=3857","2017.10.01"
"Lonis","Ironweb Spider Silk","ffffffff","1","White","1","https://classicdb.ch/?item=14227","2017.10.10"
