"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Lunakittay","Tablet of Grace of Air Totem III","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21293","2017.12.22"
"Lunakittay","Gold Scarab","ff1eff00","2","Green","2","https://classicdb.ch/?item=20859","2017.12.22"
"Lunakittay","Triumphant Gauntlets of the Falcon","ff1eff00","1","Green","2","https://classicdb.ch/?item=15682","2017.12.22"
"Lunakittay","Lambent Idol","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20868","2017.12.22"
"Lunakittay","Scarab Coffer Key","ffffffff","1","White","1","https://classicdb.ch/?item=21761","2017.12.22"
"Lunakittay","Bronze Scarab","ff1eff00","2","Green","2","https://classicdb.ch/?item=20861","2017.12.22"
"Lunakittay","Tablet of Healing Wave X","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21291","2017.12.22"
"Lunakittay","Stone Scarab","ff1eff00","1","Green","2","https://classicdb.ch/?item=20858","2017.12.22"
"Lunakittay","Ivory Scarab","ff1eff00","1","Green","2","https://classicdb.ch/?item=20865","2017.12.22"
"Lunakittay","Enduring Shield","ff1eff00","1","Green","2","https://classicdb.ch/?item=15990","2017.12.22"
"Lunakittay","Clay Scarab","ff1eff00","3","Green","2","https://classicdb.ch/?item=20863","2017.12.22"
"Lunakittay","Alabaster Idol","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20873","2017.12.22"
