"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Malor","Scarab Coffer Key","ffffffff","1","White","1","https://classicdb.ch/?item=21761","2018.02.06"
"Malor","Libram: Holy Light IX","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21290","2018.02.06"
"Malor","Libram: Blessing of Wisdom VI","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21288","2018.02.06"
"Malor","Guide: Serpent Sting IX","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21306","2018.02.06"
"Malor","Ivory Scarab","ff1eff00","1","Green","2","https://classicdb.ch/?item=20865","2018.02.06"
"Malor","Crystal Scarab","ff1eff00","2","Green","2","https://classicdb.ch/?item=20862","2018.02.06"
"Malor","Kurinnaxx's Venom Sac","ffffffff","1","White","1","https://classicdb.ch/?item=22217","2018.02.06"
"Malor","Larval Acid","ffffffff","1","White","1","https://classicdb.ch/?item=18512","2018.02.06"
"Malor","Grimoire of Shadow Bolt X","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21281","2018.02.06"
"Malor","Handbook of Deadly Poison V","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21302","2018.02.06"
"Malor","Stone Scarab","ff1eff00","2","Green","2","https://classicdb.ch/?item=20858","2018.02.06"
"Malor","Gloves of the Swarm","ffa335ee","1","Epic","4","https://classicdb.ch/?item=21486","2018.02.06"
"Malor","Twill Cloak","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3947","2018.02.06"
"Malor","Armored Chitin","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=21222","2018.02.06"
"Malor","Grimoire of Immolate VIII","ff0070dd","2","Blue","3","https://classicdb.ch/?item=21282","2018.02.06"
"Malor","Bone Scarab","ff1eff00","1","Green","2","https://classicdb.ch/?item=20864","2018.02.06"
"Malor","Tablet of Healing Wave X","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21291","2018.02.06"
"Malor","Gold Scarab","ff1eff00","1","Green","2","https://classicdb.ch/?item=20859","2018.02.06"
"Malor","Alabaster Idol","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20873","2018.02.06"
