"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Melo","Crocolisk Meat","ffffffff","1","White","1","https://classicdb.ch/?item=2924","2018.03.20"
"Melo","Pointy Crocolisk Tooth","ff9d9d9d","3","Grey","0","https://classicdb.ch/?item=770","2018.03.20"
"Melo","Rawhide Belt","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=1795","2018.03.20"
"Melo","Sharp Canine","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=3301","2018.03.18"
"Melo","Tender Crocolisk Meat","ffffffff","2","White","1","https://classicdb.ch/?item=3667","2018.03.20"
"Melo","Giant Crocolisk Skin","ffffffff","4","White","1","https://classicdb.ch/?item=3348","2018.03.20"
"Melo","Dull Elemental Bracer","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=6438","2018.03.18"
"Melo","Lesser Mana Potion","ffffffff","1","White","1","https://classicdb.ch/?item=3385","2018.03.20"
"Melo","Intrepid Strongbox Key","ffffffff","1","White","1","https://classicdb.ch/?item=2629","2018.03.20"
"Melo","Dwarven Mild","ffffffff","1","White","1","https://classicdb.ch/?item=422","2018.03.20"
"Melo","Snellig's Snuffbox","ffffffff","1","White","1","https://classicdb.ch/?item=3619","2018.03.20"
"Melo","Shimmering Amice","ffffffff","1","White","1","https://classicdb.ch/?item=6566","2018.03.18"
"Melo","Bolt of Linen Cloth","ffffffff","1","White","1","https://classicdb.ch/?item=2996","2018.03.18"
"Melo","Silk Cloth","ffffffff","3","White","1","https://classicdb.ch/?item=4306","2018.03.18"
"Melo","Bloody Bat Fang","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=6298","2018.03.18"
"Melo","Spongy Morel","ffffffff","1","White","1","https://classicdb.ch/?item=4606","2018.03.18"
"Melo","Melon Juice","ffffffff","2","White","1","https://classicdb.ch/?item=1205","2018.03.18"
"Melo","Lean Wolf Flank","ffffffff","3","White","1","https://classicdb.ch/?item=1015","2018.03.18"
"Melo","Rugged Spaulders","ffffffff","1","White","1","https://classicdb.ch/?item=5254","2018.03.18"
"Melo","Pattern: Phoenix Pants","ff1eff00","1","Green","2","https://classicdb.ch/?item=4349","2018.03.18"
"Melo","Soft Patch of Fur","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=3402","2018.03.18"
"Melo","Sharp Claw","ffffffff","1","White","1","https://classicdb.ch/?item=5635","2018.03.18"
"Melo","Spined Bat Wing","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=11391","2018.03.18"
"Melo","Meaty Bat Wing","ffffffff","1","White","1","https://classicdb.ch/?item=12223","2018.03.18"
"Melo","Wool Cloth","ffffffff","3","White","1","https://classicdb.ch/?item=2592","2018.03.18"
