"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Mithrillus","Major Healing Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13446","2017.09.23"
"Mithrillus","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.09.23"
"Mithrillus","Tender Wolf Meat","ffffffff","1","White","1","https://classicdb.ch/?item=12208","2017.09.23"
"Mithrillus","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.08.26"
"Mithrillus","Crochet Belt","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3936","2017.08.26"
"Mithrillus","Shadowforge Torch","ffffffff","2","White","1","https://classicdb.ch/?item=11885","2017.09.23"
"Mithrillus","Dark Iron Residue","ffffffff","3","White","1","https://classicdb.ch/?item=18945","2017.09.23"
"Mithrillus","Superior Mana Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13443","2017.09.23"
"Mithrillus","Red Wolf Meat","ffffffff","1","White","1","https://classicdb.ch/?item=12203","2017.09.23"
"Mithrillus","Thick Furry Mane","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4583","2017.09.23"
