"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Mommav","Patch of Fine Fur","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4581","2017.09.22"
"Mommav","Ironweb Spider Silk","ffffffff","1","White","1","https://classicdb.ch/?item=14227","2017.09.22"
"Mommav","Hard Spider Leg Tip","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=1074","2017.09.22"
"Mommav","Primal Hakkari Armsplint","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19717","2017.09.22"
"Mommav","Dripping Spider Mandible","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4585","2017.09.22"
"Mommav","Brilliant Scale","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=6826","2017.09.22"
"Mommav","Hand of Gehennas","ffffffff","1","White","1","https://classicdb.ch/?item=17331","2017.09.03"
"Mommav","Hand of Lucifron","ffffffff","1","White","1","https://classicdb.ch/?item=17329","2017.09.03"
"Mommav","Sabertooth Fang","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=4580","2017.09.22"
"Mommav","Primal Hakkari Armsplint","ffa335ee","2","Epic","4","https://classicdb.ch/?item=19717","2018.01.05"
"Mommav","Zanzil's Band","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19905","2017.09.22"
"Mommav","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.09.18"
"Mommav","Armored Chitin","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=21222","2018.01.05"
"Mommav","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2018.01.05"
