"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Naraak","Dried King Bolete","ffffffff","1","White","1","https://classicdb.ch/?item=8948","2017.07.10"
"Naraak","Head of Onyxia","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18423","2017.07.02"
"Naraak","Large Radiant Shard","ff0070dd","2","Blue","3","https://classicdb.ch/?item=11178","2017.09.07"
"Naraak","Primal Hakkari Girdle","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19719","2017.09.22"
"Naraak","Small Brilliant Shard","ff0070dd","2","Blue","3","https://classicdb.ch/?item=14343","2017.09.07"
"Naraak","Netherwind Crown","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16914","2017.07.02"
"Naraak","Arcanist Crown","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16795","2017.07.02"
"Naraak","Twill Bracers","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3946","2017.07.10"
"Naraak","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2017.09.06"
"Naraak","Burning Pitch","ff9d9d9d","4","Grey","0","https://classicdb.ch/?item=4787","2017.10.16"
"Naraak","Dark Iron Residue","ffffffff","7","White","1","https://classicdb.ch/?item=18945","2017.10.16"
"Naraak","Elemental Air","ffffffff","3","White","1","https://classicdb.ch/?item=7069","2017.12.18"
"Naraak","Bloodtinged Gloves","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19929","2017.12.04"
"Naraak","Husk Fragment","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=6300","2017.12.12"
"Naraak","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.10.16"
"Naraak","Shadowforge Torch","ffffffff","4","White","1","https://classicdb.ch/?item=11885","2017.10.16"
"Naraak","Coal","ffffffff","1","White","1","https://classicdb.ch/?item=3857","2017.10.16"
"Naraak","Elemental Earth","ffffffff","5","White","1","https://classicdb.ch/?item=7067","2017.12.18"
"Naraak","Core of Earth","ffffffff","5","White","1","https://classicdb.ch/?item=7075","2017.12.18"
"Naraak","Vanguard Gauntlets","ff1eff00","1","Green","2","https://classicdb.ch/?item=14855","2017.12.18"
"Naraak","Essence of Air","ff1eff00","1","Green","2","https://classicdb.ch/?item=7082","2017.12.18"
"Naraak","Lifeless Stone","ff9d9d9d","63","Grey","0","https://classicdb.ch/?item=4784","2017.12.18"
"Naraak","Templar Pauldrons of the Bear","ff1eff00","1","Green","2","https://classicdb.ch/?item=10170","2017.12.18"
"Naraak","Solid Stone","ffffffff","22","White","1","https://classicdb.ch/?item=7912","2017.12.18"
"Naraak","Deeprock Salt","ffffffff","19","White","1","https://classicdb.ch/?item=8150","2017.12.18"
"Naraak","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2017.10.16"
"Naraak","Robes of the Royal Crown","ff0070dd","1","Blue","3","https://classicdb.ch/?item=11924","2017.09.06"
"Naraak","Swiftwalker Boots","ff0070dd","1","Blue","3","https://classicdb.ch/?item=12553","2017.09.06"
"Naraak","Dark Iron Residue","ffffffff","2","White","1","https://classicdb.ch/?item=18945","2017.09.06"
"Naraak","Thaurissan's Royal Scepter","ff0070dd","1","Blue","3","https://classicdb.ch/?item=11928","2017.09.06"
"Naraak","Heart of Hakkar","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19802","2017.09.22"
"Naraak","Qiraji Lord's Insignia","ffffffff","4","White","1","https://classicdb.ch/?item=21229","2018.01.18"
"Naraak","Powerful Mojo","ffffffff","1","White","1","https://classicdb.ch/?item=12804","2017.12.10"
"Naraak","Large Brilliant Shard","ff0070dd","15","Blue","3","https://classicdb.ch/?item=14344","2017.09.06"
"Naraak","Broken Silithid Chitin","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=20499","2017.12.12"
"Naraak","Jin'do's Bag of Whammies","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19891","2017.12.10"
"Naraak","Burning Pitch","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4787","2017.09.17"
"Naraak","Essence of Earth","ff1eff00","1","Green","2","https://classicdb.ch/?item=7076","2017.12.18"
"Naraak","Ebonsteel Spaulders","ff0070dd","1","Blue","3","https://classicdb.ch/?item=12557","2017.09.06"
"Naraak","Hand of Justice","ff0070dd","1","Blue","3","https://classicdb.ch/?item=11815","2017.09.06"
"Naraak","Large Brilliant Shard","ff0070dd","7","Blue","3","https://classicdb.ch/?item=14344","2017.09.08"
"Naraak","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.09.08"
"Naraak","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2017.07.10"
"Naraak","Coal","ffffffff","2","White","1","https://classicdb.ch/?item=3857","2017.09.01"
