"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Nicc","Worn Dragonscale","ffffffff","1","White","1","https://classicdb.ch/?item=8165","2017.08.26"
"Nicc","Scroll of Spirit IV","ffffffff","1","White","1","https://classicdb.ch/?item=10306","2017.08.26"
"Nicc","Encrypted Twilight Text","ffffffff","3","White","1","https://classicdb.ch/?item=20404","2017.09.18"
"Nicc","Abyssal Mail Pauldrons of Striking","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20680","2017.09.18"
"Nicc","Thick Leather","ffffffff","1","White","1","https://classicdb.ch/?item=4304","2017.08.26"
"Nicc","Hand of Sulfuron","ffffffff","1","White","1","https://classicdb.ch/?item=17330","2017.09.24"
"Nicc","Rugged Leather","ffffffff","3","White","1","https://classicdb.ch/?item=8170","2017.08.26"
"Nicc","Black Dragonscale","ffffffff","1","White","1","https://classicdb.ch/?item=15416","2017.08.26"
"Nicc","Rugged Leather","ffffffff","1","White","1","https://classicdb.ch/?item=8170","2017.09.24"
"Nicc","Obsidian Edged Blade","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18822","2017.09.24"
"Nicc","Hand of Shazzrah","ffffffff","1","White","1","https://classicdb.ch/?item=17332","2017.09.24"
"Nicc","Hand of Gehennas","ffffffff","1","White","1","https://classicdb.ch/?item=17331","2017.09.24"
"Nicc","Core Leather","ffffffff","2","White","1","https://classicdb.ch/?item=17012","2017.09.17"
"Nicc","Hand of Lucifron","ffffffff","1","White","1","https://classicdb.ch/?item=17329","2017.09.24"
"Nicc","Wristguards of Stability","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19146","2017.09.17"
"Nicc","Earthshaker","ffa335ee","1","Epic","4","https://classicdb.ch/?item=17073","2017.09.17"
