"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Nite","Scroll of Spirit IV","ffffffff","1","White","1","https://classicdb.ch/?item=10306","2017.12.14"
"Nite","Hand of Lucifron","ffffffff","1","White","1","https://classicdb.ch/?item=17329","2017.09.17"
"Nite","Sayge's Fortune #13","ffffffff","1","White","1","https://classicdb.ch/?item=19248","2017.10.05"
"Nite","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2017.09.17"
"Nite","Major Mana Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13444","2017.09.17"
"Nite","Hand of Shazzrah","ffffffff","1","White","1","https://classicdb.ch/?item=17332","2017.09.17"
"Nite","Thick Leather Boots","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3962","2017.09.17"
"Nite","Briarthorn","ffffffff","1","White","1","https://classicdb.ch/?item=2450","2017.09.17"
"Nite","Head of Onyxia","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18423","2017.09.17"
"Nite","Striker's Mark","ffa335ee","1","Epic","4","https://classicdb.ch/?item=17069","2017.09.03"
"Nite","Nightslayer Cover","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16821","2017.11.19"
"Nite","Hand of Gehennas","ffffffff","1","White","1","https://classicdb.ch/?item=17331","2017.09.17"
"Nite","Ancient Qiraji Artifact","ffffffff","1","White","1","https://classicdb.ch/?item=21230","2018.01.04"
"Nite","Hand of Sulfuron","ffffffff","1","White","1","https://classicdb.ch/?item=17330","2017.09.17"
"Nite","Skullcracking Mace","ff1eff00","2","Green","2","https://classicdb.ch/?item=18481","2017.09.10"
"Nite","Nightslayer Shoulder Pads","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16823","2017.11.19"
"Nite","Scroll of Protection IV","ffffffff","1","White","1","https://classicdb.ch/?item=10305","2017.12.14"
"Nite","Homemade Cherry Pie","ffffffff","1","White","1","https://classicdb.ch/?item=8950","2017.10.19"
"Nite","Forked Tongue","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=6444","2017.10.19"
"Nite","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.10.19"
"Nite","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2017.09.10"
"Nite","Star Ruby","ff1eff00","1","Green","2","https://classicdb.ch/?item=7910","2017.10.15"
"Nite","Bolt of Silk Cloth","ffffffff","1","White","1","https://classicdb.ch/?item=4305","2017.09.17"
"Nite","Runecloth","ffffffff","2","White","1","https://classicdb.ch/?item=14047","2017.09.17"
"Nite","Evil Bat Eye","ffffffff","1","White","1","https://classicdb.ch/?item=11404","2017.10.19"
"Nite","Bloodfang Belt","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16910","2017.10.05"
"Nite","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2017.09.10"
"Nite","Bloodfang Pants","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16909","2017.10.22"
"Nite","Bloodfang Bracers","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16911","2017.11.30"
"Nite","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2017.12.14"
