"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Pumbah","Stone Scarab","ff1eff00","1","Green","2","https://classicdb.ch/?item=20858","2017.12.24"
"Pumbah","Bone Scarab","ff1eff00","3","Green","2","https://classicdb.ch/?item=20864","2017.12.24"
"Pumbah","Qiraji Lord's Insignia","ffffffff","2","White","1","https://classicdb.ch/?item=21229","2017.12.24"
"Pumbah","Clay Scarab","ff1eff00","2","Green","2","https://classicdb.ch/?item=20863","2017.12.24"
"Pumbah","Qiraji Lord's Insignia","ffffffff","2","White","1","https://classicdb.ch/?item=21229","2017.12.28"
"Pumbah","Silver Scarab","ff1eff00","1","Green","2","https://classicdb.ch/?item=20860","2017.12.24"
"Pumbah","Crystal Scarab","ff1eff00","1","Green","2","https://classicdb.ch/?item=20862","2017.12.24"
"Pumbah","Bulky Maul","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=13821","2017.10.14"
"Pumbah","Ancient Qiraji Artifact","ffffffff","3","White","1","https://classicdb.ch/?item=21230","2017.12.24"
"Pumbah","Overlinked Chain Armor","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4007","2017.10.14"
"Pumbah","Smooth Stone Chip","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=4552","2017.10.14"
"Pumbah","Silithid Carapace Fragment","ffffffff","102","White","1","https://classicdb.ch/?item=20384","2017.12.07"
"Pumbah","Broken Silithid Chitin","ff9d9d9d","9","Grey","0","https://classicdb.ch/?item=20499","2017.12.07"
"Pumbah","Coal","ffffffff","1","White","1","https://classicdb.ch/?item=3857","2017.08.20"
"Pumbah","Stone Scarab","ff1eff00","1","Green","2","https://classicdb.ch/?item=20858","2018.02.06"
"Pumbah","Warleader's Gauntlets","ff1eff00","1","Green","2","https://classicdb.ch/?item=14863","2018.02.06"
"Pumbah","Kurinnaxx's Venom Sac","ffffffff","1","White","1","https://classicdb.ch/?item=22217","2018.02.06"
"Pumbah","Light Plate Gloves","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=8084","2017.10.14"
"Pumbah","Armored Chitin","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=21222","2018.02.06"
"Pumbah","Heavy Silithid Husk","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=21225","2018.02.06"
"Pumbah","Runecloth","ffffffff","2","White","1","https://classicdb.ch/?item=14047","2017.07.10"
"Pumbah","Fine Pointed Dagger","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4023","2017.07.10"
"Pumbah","Stratholme Holy Water","ffffffff","1","White","1","https://classicdb.ch/?item=13180","2017.07.10"
"Pumbah","Lifeless Stone","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4784","2017.08.20"
"Pumbah","Drake Talon Cleaver","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19353","2017.12.31"
"Pumbah","Eskhandar's Right Claw","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18203","2017.08.20"
"Pumbah","Alterac Swiss","ffffffff","3","White","1","https://classicdb.ch/?item=8932","2017.07.10"
"Pumbah","Husk Fragment","ff9d9d9d","5","Grey","0","https://classicdb.ch/?item=6300","2017.12.07"
"Pumbah","Scroll of Protection IV","ffffffff","1","White","1","https://classicdb.ch/?item=10305","2017.10.14"
"Pumbah","Delicate Insect Wing","ff9d9d9d","8","Grey","0","https://classicdb.ch/?item=6302","2017.12.07"
"Pumbah","Nightcrawlers","ffffffff","4","White","1","https://classicdb.ch/?item=6530","2017.07.10"
"Pumbah","Scroll of Stamina IV","ffffffff","1","White","1","https://classicdb.ch/?item=10307","2017.07.10"
"Pumbah","Smooth Leather Gloves","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3973","2017.07.10"
"Pumbah","Punctured Voodoo Doll","ff1eff00","1","Green","2","https://classicdb.ch/?item=19820","2017.11.17"
"Pumbah","Ivory Scarab","ff1eff00","1","Green","2","https://classicdb.ch/?item=20865","2017.12.24"
"Pumbah","Flamewaker Legplates","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18861","2017.08.27"
"Pumbah","Lawbringer Chestguard","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16853","2017.08.27"
"Pumbah","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2017.11.17"
"Pumbah","Handbook of Backstab IX","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21300","2018.02.06"
"Pumbah","Silver Scarab","ff1eff00","1","Green","2","https://classicdb.ch/?item=20860","2018.02.06"
"Pumbah","Laminated Scale Belt","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3992","2017.10.14"
"Pumbah","Black Ash Robe","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19399","2017.12.31"
