"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Purplejunkie","Boots of Pure Thought","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19437","2018.02.15"
"Purplejunkie","Sayge's Fortune #24","ffffffff","1","White","1","https://classicdb.ch/?item=19424","2018.02.08"
"Purplejunkie","Ancient Qiraji Artifact","ffffffff","6","White","1","https://classicdb.ch/?item=21230","2018.01.25"
"Purplejunkie","Qiraji Lord's Insignia","ffffffff","3","White","1","https://classicdb.ch/?item=21229","2018.01.25"
"Purplejunkie","Qiraji Ornate Hilt","ffa335ee","1","Epic","4","https://classicdb.ch/?item=20890","2018.01.26"
"Purplejunkie","Stormrage Belt","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16903","2017.11.16"
"Purplejunkie","Ancient Qiraji Artifact","ffffffff","2","White","1","https://classicdb.ch/?item=21230","2018.01.18"
"Purplejunkie","Angelista's Charm","ffa335ee","1","Epic","4","https://classicdb.ch/?item=21690","2018.01.25"
"Purplejunkie","Will of Arlokk","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19909","2017.10.06"
"Purplejunkie","Stormrage Boots","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16898","2017.11.16"
"Purplejunkie","Ancient Qiraji Artifact","ffffffff","1","White","1","https://classicdb.ch/?item=21230","2018.01.04"
"Purplejunkie","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2018.01.11"
"Purplejunkie","Stormrage Pauldrons","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16902","2017.12.14"
"Purplejunkie","Pattern: Brightcloth Pants","ff1eff00","1","Green","2","https://classicdb.ch/?item=14494","2017.12.14"
"Purplejunkie","Qiraji Lord's Insignia","ffffffff","4","White","1","https://classicdb.ch/?item=21229","2018.01.18"
"Purplejunkie","Salamander Scale Pants","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18875","2017.12.10"
"Purplejunkie","Blue Qiraji Resonating Crystal","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21218","2018.01.25"
