"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Qatara","Relic Coffer Key","ffffffff","2","White","1","https://classicdb.ch/?item=11078","2017.09.23"
"Qatara","Dark Iron Residue","ffffffff","8","White","1","https://classicdb.ch/?item=18945","2017.09.23"
"Qatara","Runecloth","ffffffff","8","White","1","https://classicdb.ch/?item=14047","2017.09.23"
"Qatara","Superior Mana Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13443","2017.09.23"
"Qatara","Ebonsteel Spaulders","ff0070dd","1","Blue","3","https://classicdb.ch/?item=12557","2017.09.23"
"Qatara","The Emperor's New Cape","ff0070dd","2","Blue","3","https://classicdb.ch/?item=11930","2017.09.23"
"Qatara","Burning Pitch","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4787","2017.09.23"
"Qatara","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2017.09.23"
"Qatara","Homemade Cherry Pie","ffffffff","6","White","1","https://classicdb.ch/?item=8950","2017.09.23"
"Qatara","Major Healing Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13446","2017.09.23"
"Qatara","Laminated Scale Armor","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3999","2017.09.23"
