"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Raitr","Runecloth","ffffffff","5","White","1","https://classicdb.ch/?item=14047","2017.10.01"
"Raitr","Assassination Blade","ff0070dd","1","Blue","3","https://classicdb.ch/?item=13036","2017.09.24"
"Raitr","Bloodstrike Dagger of Power","ff1eff00","1","Green","2","https://classicdb.ch/?item=15247","2017.09.24"
"Raitr","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.09.29"
"Raitr","Cow King's Hide","ff0070dd","1","Blue","3","https://classicdb.ch/?item=13009","2017.09.24"
"Raitr","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.12.10"
"Raitr","Runecloth","ffffffff","5","White","1","https://classicdb.ch/?item=14047","2017.12.04"
"Raitr","Major Healing Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13446","2017.11.26"
"Raitr","Burning Pitch","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4787","2017.10.02"
"Raitr","Codex: Prayer of Fortitude II","ff0070dd","1","Blue","3","https://classicdb.ch/?item=17414","2017.09.24"
"Raitr","Nightcrawlers","ffffffff","1","White","1","https://classicdb.ch/?item=6530","2017.12.04"
"Raitr","Burning Pitch","ff9d9d9d","4","Grey","0","https://classicdb.ch/?item=4787","2017.10.01"
"Raitr","Major Mana Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13444","2017.11.26"
"Raitr","Tome of Tranquilizing Shot","ff1eff00","1","Green","2","https://classicdb.ch/?item=16665","2018.01.21"
"Raitr","Core of Earth","ffffffff","1","White","1","https://classicdb.ch/?item=7075","2018.01.21"
"Raitr","Dark Iron Residue","ffffffff","3","White","1","https://classicdb.ch/?item=18945","2017.09.30"
"Raitr","Shadowforge Torch","ffffffff","3","White","1","https://classicdb.ch/?item=11885","2017.09.30"
"Raitr","Heart of Fire","ffffffff","1","White","1","https://classicdb.ch/?item=7077","2017.09.30"
"Raitr","Sabatons of Might","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16862","2018.01.28"
"Raitr","Scroll of Spirit IV","ffffffff","1","White","1","https://classicdb.ch/?item=10306","2018.01.28"
"Raitr","Serenity Belt","ff0070dd","1","Blue","3","https://classicdb.ch/?item=13144","2018.01.21"
"Raitr","Runecloth","ffffffff","4","White","1","https://classicdb.ch/?item=14047","2017.09.22"
"Raitr","Wyrmslayer Spaulders","ff0070dd","1","Blue","3","https://classicdb.ch/?item=13066","2018.01.21"
"Raitr","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.09.22"
"Raitr","Thick Leather Shoulderpads","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3967","2017.09.30"
"Raitr","Superior Mana Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13443","2017.09.30"
"Raitr","Wicked Claw","ffffffff","1","White","1","https://classicdb.ch/?item=8146","2017.09.22"
