"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Rixie","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2017.09.22"
"Rixie","Roasted Quail","ffffffff","3","White","1","https://classicdb.ch/?item=8952","2017.09.22"
"Rixie","Thick Leather Shoulderpads","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3967","2017.09.22"
"Rixie","Large Scorpid Claw","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=19934","2017.09.22"
"Rixie","Red Wolf Meat","ffffffff","1","White","1","https://classicdb.ch/?item=12203","2017.09.22"
"Rixie","General Drakkisath's Command","ffffffff","1","White","1","https://classicdb.ch/?item=12780","2017.09.22"
"Rixie","Silk Cloth","ffffffff","1","White","1","https://classicdb.ch/?item=4306","2017.09.22"
"Rixie","Thick Furry Mane","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4583","2017.09.22"
"Rixie","Shadow Silk","ffffffff","1","White","1","https://classicdb.ch/?item=10285","2017.09.22"
"Rixie","Runecloth","ffffffff","11","White","1","https://classicdb.ch/?item=14047","2017.09.22"
"Rixie","Major Healing Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13446","2017.09.22"
"Rixie","Twill Shoulderpads","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3950","2017.09.22"
"Rixie","Dripping Spider Mandible","ff9d9d9d","4","Grey","0","https://classicdb.ch/?item=4585","2017.09.22"
"Rixie","Morning Glory Dew","ffffffff","2","White","1","https://classicdb.ch/?item=8766","2017.09.22"
"Rixie","Twill Cloak","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3947","2017.09.22"
"Rixie","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2017.09.22"
"Rixie","Major Healing Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13446","2017.09.22"
"Rixie","Heavy Flint Axe","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4019","2017.09.22"
"Rixie","Omokk's Head","ffffffff","1","White","1","https://classicdb.ch/?item=12534","2017.09.22"
"Rixie","White Spider Meat","ffffffff","4","White","1","https://classicdb.ch/?item=12205","2017.09.22"
"Rixie","Light Plate Shoulderpads","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=8086","2017.09.22"
"Rixie","Hard Spider Leg Tip","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=1074","2017.09.22"
"Rixie","Immature Venom Sac","ffffffff","9","White","1","https://classicdb.ch/?item=12586","2017.09.22"
"Rixie","Runecloth","ffffffff","3","White","1","https://classicdb.ch/?item=14047","2017.09.22"
"Rixie","Fine Pointed Dagger","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4023","2017.09.22"
"Rixie","Thick Spider's Silk","ffffffff","4","White","1","https://classicdb.ch/?item=4337","2017.09.22"
