"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Roylock","Ancient Qiraji Artifact","ffffffff","1","White","1","https://classicdb.ch/?item=21230","2018.01.04"
"Roylock","Qiraji Lord's Insignia","ffffffff","2","White","1","https://classicdb.ch/?item=21229","2018.01.18"
"Roylock","Jin'do's Judgement","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19884","2017.12.10"
"Roylock","Sayge's Fortune #10","ffffffff","1","White","1","https://classicdb.ch/?item=19245","2018.02.08"
"Roylock","Primal Hakkari Sash","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19720","2017.12.10"
"Roylock","Nemesis Boots","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16927","2017.12.07"
"Roylock","Nemesis Robes","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16931","2018.01.14"
"Roylock","Nemesis Belt","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16933","2017.11.23"
"Roylock","Ancient Qiraji Artifact","ffffffff","1","White","1","https://classicdb.ch/?item=21230","2018.01.18"
"Roylock","Ebony Flame Gloves","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19407","2018.02.08"
"Roylock","Ancient Qiraji Artifact","ffffffff","1","White","1","https://classicdb.ch/?item=21230","2018.01.25"
"Roylock","Scroll of Intellect IV","ffffffff","1","White","1","https://classicdb.ch/?item=10308","2017.12.07"
"Roylock","Mountain Silversage","ffffffff","1","White","1","https://classicdb.ch/?item=13465","2017.12.10"
"Roylock","Qiraji Lord's Insignia","ffffffff","3","White","1","https://classicdb.ch/?item=21229","2018.01.25"
