"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Saturnias","Ancient Armor Fragment","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=21224","2018.01.09"
"Saturnias","Arcanist Gloves","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16801","2018.01.21"
"Saturnias","Qiraji Lord's Insignia","ffffffff","4","White","1","https://classicdb.ch/?item=21229","2018.01.18"
"Saturnias","Evil Bat Eye","ffffffff","1","White","1","https://classicdb.ch/?item=11404","2018.01.30"
"Saturnias","Mind Quickening Gem","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19339","2018.01.28"
"Saturnias","Ancient Qiraji Artifact","ffffffff","7","White","1","https://classicdb.ch/?item=21230","2018.01.25"
"Saturnias","Choker of Enlightenment","ffa335ee","1","Epic","4","https://classicdb.ch/?item=17109","2018.02.01"
"Saturnias","Netherwind Crown","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16914","2018.02.01"
"Saturnias","Armored Chitin","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=21222","2018.01.09"
"Saturnias","Netherwind Pants","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16915","2018.01.14"
"Saturnias","Ring of Swarming Thought","ffa335ee","1","Epic","4","https://classicdb.ch/?item=21707","2018.01.18"
"Saturnias","Ancient Qiraji Artifact","ffffffff","3","White","1","https://classicdb.ch/?item=21230","2018.02.11"
"Saturnias","Ringo's Blizzard Boots","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19438","2018.01.28"
"Saturnias","Qiraji Magisterial Ring","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20884","2018.01.09"
"Saturnias","Ancient Qiraji Artifact","ffffffff","5","White","1","https://classicdb.ch/?item=21230","2018.01.18"
"Saturnias","Qiraji Lord's Insignia","ffffffff","4","White","1","https://classicdb.ch/?item=21229","2018.01.25"
"Saturnias","Eye of Moam","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21473","2018.01.09"
"Saturnias","Primal Bat Leather","ffffffff","1","White","1","https://classicdb.ch/?item=19767","2018.01.23"
"Saturnias","Qiraji Lord's Insignia","ffffffff","5","White","1","https://classicdb.ch/?item=21229","2018.02.11"
"Saturnias","Soul Corrupter's Necklace","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19876","2018.01.23"
"Saturnias","Claw of Chromaggus","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19347","2018.01.28"
"Saturnias","Lifeless Stone","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=4784","2018.02.04"
"Saturnias","Arcanist Mantle","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16797","2018.02.01"
"Saturnias","Netherwind Mantle","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16917","2018.02.08"
