"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Sesek","Runecloth","ffffffff","2","White","1","https://classicdb.ch/?item=14047","2017.10.16"
"Sesek","Brutality Blade","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18832","2017.10.22"
"Sesek","Qiraji Lord's Insignia","ffffffff","4","White","1","https://classicdb.ch/?item=21229","2018.01.25"
"Sesek","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2017.10.10"
"Sesek","Hand of Lucifron","ffffffff","1","White","1","https://classicdb.ch/?item=17329","2017.09.24"
"Sesek","Nightslayer Gloves","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16826","2017.10.22"
"Sesek","Runecloth","ffffffff","3","White","1","https://classicdb.ch/?item=14047","2017.10.11"
"Sesek","Striker's Mark","ffa335ee","1","Epic","4","https://classicdb.ch/?item=17069","2018.02.01"
"Sesek","Citrine","ff1eff00","1","Green","2","https://classicdb.ch/?item=3864","2018.02.04"
"Sesek","Thick Leather Boots","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3962","2017.10.24"
"Sesek","Light Plate Helmet","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=8755","2017.10.11"
"Sesek","Ancient Qiraji Artifact","ffffffff","7","White","1","https://classicdb.ch/?item=21230","2018.01.25"
"Sesek","Lifeless Stone","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4784","2018.02.04"
"Sesek","Dreamfoil","ffffffff","1","White","1","https://classicdb.ch/?item=13463","2017.10.19"
"Sesek","Blood Scythe","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19727","2017.10.10"
"Sesek","Dark Iron Residue","ffffffff","2","White","1","https://classicdb.ch/?item=18945","2017.10.16"
"Sesek","Bloodfang Chestpiece","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16905","2018.02.08"
"Sesek","Burning Pitch","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4787","2017.10.11"
"Sesek","Laminated Scale Circlet","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=8752","2017.10.16"
"Sesek","Formula: Enchant Gloves - Frost Power","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20728","2018.02.11"
"Sesek","Crochet Pants","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3941","2017.08.26"
"Sesek","Twill Bracers","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3946","2017.08.26"
"Sesek","Qiraji Bindings of Command","ffa335ee","1","Epic","4","https://classicdb.ch/?item=20928","2018.02.11"
"Sesek","Bloodfang Spaulders","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16832","2017.11.12"
"Sesek","Thick Leather","ffffffff","2","White","1","https://classicdb.ch/?item=4304","2017.09.19"
"Sesek","Yellow Qiraji Resonating Crystal","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21324","2018.02.11"
"Sesek","Qiraji Lord's Insignia","ffffffff","5","White","1","https://classicdb.ch/?item=21229","2018.02.11"
"Sesek","Overlinked Chain Boots","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4001","2017.08.26"
"Sesek","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2017.08.26"
"Sesek","Runecloth","ffffffff","10","White","1","https://classicdb.ch/?item=14047","2017.08.26"
"Sesek","Ancient Qiraji Artifact","ffffffff","3","White","1","https://classicdb.ch/?item=21230","2018.02.11"
"Sesek","Ichor of Undeath","ffffffff","1","White","1","https://classicdb.ch/?item=7972","2017.08.26"
"Sesek","Light Plate Boots","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=8082","2017.08.26"
"Sesek","Delicate Insect Wing","ff9d9d9d","3","Grey","0","https://classicdb.ch/?item=6302","2017.12.07"
"Sesek","Brilliant Scale","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=6826","2017.12.10"
"Sesek","Forked Tongue","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=6444","2017.12.10"
"Sesek","Silithid Carapace Fragment","ffffffff","3","White","1","https://classicdb.ch/?item=20384","2017.12.07"
"Sesek","Punctured Voodoo Doll","ff1eff00","1","Green","2","https://classicdb.ch/?item=19816","2017.12.10"
"Sesek","Ancient Qiraji Artifact","ffffffff","1","White","1","https://classicdb.ch/?item=21230","2018.01.04"
"Sesek","Hourglass Sand","ffffffff","1","White","1","https://classicdb.ch/?item=19183","2017.12.07"
"Sesek","Ancient Qiraji Artifact","ffffffff","6","White","1","https://classicdb.ch/?item=21230","2018.01.18"
"Sesek","Head of Nefarian","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19003","2017.09.21"
"Sesek","Rugged Leather","ffffffff","5","White","1","https://classicdb.ch/?item=8170","2017.09.19"
"Sesek","Qiraji Lord's Insignia","ffffffff","4","White","1","https://classicdb.ch/?item=21229","2018.01.18"
"Sesek","Broken Silithid Chitin","ff9d9d9d","4","Grey","0","https://classicdb.ch/?item=20499","2017.12.07"
"Sesek","Golden Sansam","ffffffff","2","White","1","https://classicdb.ch/?item=13464","2017.12.10"
"Sesek","Husk Fragment","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=6300","2017.12.07"
"Sesek","Rugged Leather","ffffffff","16","White","1","https://classicdb.ch/?item=8170","2017.08.26"
"Sesek","Crystal Scarab","ff1eff00","1","Green","2","https://classicdb.ch/?item=20862","2018.01.09"
"Sesek","Silver Scarab","ff1eff00","1","Green","2","https://classicdb.ch/?item=20860","2018.01.09"
"Sesek","Thick Leather","ffffffff","1","White","1","https://classicdb.ch/?item=4304","2017.08.26"
"Sesek","Black Dragonscale","ffffffff","11","White","1","https://classicdb.ch/?item=15416","2017.08.26"
