"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Sessy","Seal of the Archmagus","ffa335ee","1","Epic","4","https://classicdb.ch/?item=17110","2018.01.21"
"Sessy","Channeler's Head","ffffffff","5","White","1","https://classicdb.ch/?item=19881","2018.01.23"
"Sessy","Flowing Ritual Robes","ffa335ee","1","Epic","4","https://classicdb.ch/?item=20032","2018.01.23"
"Sessy","Circlet of Prophecy","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16813","2018.01.21"
"Sessy","Sorcerous Dagger","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18878","2018.01.28"
"Sessy","Elder Wizard's Mantle","ff0070dd","1","Blue","3","https://classicdb.ch/?item=13013","2018.01.28"
"Sessy","Bronze Hakkari Bijou","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19713","2018.01.23"
"Sessy","Robes of Prophecy","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16815","2018.01.14"
"Sessy","Punctured Voodoo Doll","ff1eff00","2","Green","2","https://classicdb.ch/?item=19815","2018.01.23"
"Sessy","Red Hakkari Bijou","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19707","2018.01.23"
"Sessy","Burning Pitch","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4787","2018.01.28"
"Sessy","Heart of Hakkar","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19802","2018.01.23"
"Sessy","Gurubashi Coin","ff1eff00","1","Green","2","https://classicdb.ch/?item=19701","2018.01.23"
"Sessy","Primal Hakkari Sash","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19720","2018.01.23"
