"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Shargul","Dripping Spider Mandible","ff9d9d9d","3","Grey","0","https://classicdb.ch/?item=4585","2017.09.22"
"Shargul","Runecloth","ffffffff","4","White","1","https://classicdb.ch/?item=14047","2017.09.22"
"Shargul","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2017.09.22"
"Shargul","Major Healing Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13446","2017.09.22"
"Shargul","Morning Glory Dew","ffffffff","2","White","1","https://classicdb.ch/?item=8766","2017.09.22"
"Shargul","Thick Furry Mane","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4583","2017.09.22"
"Shargul","Scroll of Spirit IV","ffffffff","1","White","1","https://classicdb.ch/?item=10306","2017.09.22"
"Shargul","Immature Venom Sac","ffffffff","4","White","1","https://classicdb.ch/?item=12586","2017.09.22"
"Shargul","White Spider Meat","ffffffff","1","White","1","https://classicdb.ch/?item=12205","2017.09.22"
"Shargul","Huge Venom Sac","ffffffff","1","White","1","https://classicdb.ch/?item=19441","2017.09.22"
"Shargul","Thick Spider's Silk","ffffffff","1","White","1","https://classicdb.ch/?item=4337","2017.09.22"
"Shargul","Hard Spider Leg Tip","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=1074","2017.09.22"
"Shargul","General Drakkisath's Command","ffffffff","1","White","1","https://classicdb.ch/?item=12780","2017.09.22"
"Shargul","Ironweb Spider Silk","ffffffff","2","White","1","https://classicdb.ch/?item=14227","2017.09.22"
"Shargul","Omokk's Head","ffffffff","1","White","1","https://classicdb.ch/?item=12534","2017.09.22"
"Shargul","Mystery Meat","ffffffff","2","White","1","https://classicdb.ch/?item=12037","2017.09.22"
