"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Shaucks","Elemental Earth","ffffffff","2","White","1","https://classicdb.ch/?item=7067","2017.09.17"
"Shaucks","Elemental Fire","ffffffff","2","White","1","https://classicdb.ch/?item=7068","2017.09.17"
"Shaucks","Bloodlust Britches","ff1eff00","1","Green","2","https://classicdb.ch/?item=14805","2017.12.31"
"Shaucks","Major Mana Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13444","2017.12.31"
"Shaucks","Morning Glory Dew","ffffffff","2","White","1","https://classicdb.ch/?item=8766","2017.12.31"
"Shaucks","Arcanist Bindings","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16799","2017.09.17"
"Shaucks","Blue Sack of Gems","ff1eff00","1","Green","2","https://classicdb.ch/?item=17962","2017.12.31"
"Shaucks","Coal","ffffffff","1","White","1","https://classicdb.ch/?item=3857","2017.09.17"
"Shaucks","Qiraji Lord's Insignia","ffffffff","2","White","1","https://classicdb.ch/?item=21229","2017.12.28"
"Shaucks","Thorium Lockbox","ff1eff00","1","Green","2","https://classicdb.ch/?item=5759","2017.12.31"
"Shaucks","Runecloth","ffffffff","15","White","1","https://classicdb.ch/?item=14047","2017.12.31"
"Shaucks","Lawbringer Belt","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16858","2017.09.17"
"Shaucks","Hourglass Sand","ffffffff","33","White","1","https://classicdb.ch/?item=19183","2017.12.31"
"Shaucks","Pattern: Chimeric Vest","ff1eff00","1","Green","2","https://classicdb.ch/?item=15755","2017.12.31"
"Shaucks","Nightshade Spaulders of the Owl","ff1eff00","1","Green","2","https://classicdb.ch/?item=10228","2017.09.17"
"Shaucks","Essence of Earth","ff1eff00","4","Green","2","https://classicdb.ch/?item=7076","2017.09.17"
"Shaucks","Elementium Ore","ffa335ee","5","Epic","4","https://classicdb.ch/?item=18562","2017.12.31"
"Shaucks","Resplendent Orb of the Wolf","ff1eff00","1","Green","2","https://classicdb.ch/?item=15988","2017.09.17"
"Shaucks","Plans: Thorium Leggings","ff1eff00","1","Green","2","https://classicdb.ch/?item=12704","2017.12.31"
"Shaucks","Giantstalker's Bracers","ffa335ee","2","Epic","4","https://classicdb.ch/?item=16850","2017.09.17"
"Shaucks","Essence of Fire","ff1eff00","5","Green","2","https://classicdb.ch/?item=7078","2017.09.17"
"Shaucks","Coal","ffffffff","2","White","1","https://classicdb.ch/?item=3857","2017.08.20"
"Shaucks","Idol of Strife","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20881","2017.12.24"
"Shaucks","Idol of Night","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20875","2017.12.24"
"Shaucks","Idol of the Sage","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20877","2017.12.24"
"Shaucks","Stone Scarab","ff1eff00","3","Green","2","https://classicdb.ch/?item=20858","2017.12.24"
"Shaucks","Clay Scarab","ff1eff00","3","Green","2","https://classicdb.ch/?item=20863","2017.12.24"
"Shaucks","Idol of Life","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20879","2017.12.24"
"Shaucks","Gold Scarab","ff1eff00","3","Green","2","https://classicdb.ch/?item=20859","2017.12.24"
"Shaucks","Scarab Bag","ffffffff","3","White","1","https://classicdb.ch/?item=21156","2017.12.24"
"Shaucks","Ancient Qiraji Artifact","ffffffff","3","White","1","https://classicdb.ch/?item=21230","2017.12.24"
"Shaucks","Felheart Bracers","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16804","2017.09.17"
"Shaucks","Mighty Girdle of the Eagle","ff1eff00","1","Green","2","https://classicdb.ch/?item=10145","2017.09.17"
"Shaucks","Idol of War","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20882","2017.12.24"
"Shaucks","Idol of Rebirth","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20878","2017.12.24"
"Shaucks","Dark Iron Ore","ffffffff","1","White","1","https://classicdb.ch/?item=11370","2017.09.17"
"Shaucks","Crystal Scarab","ff1eff00","1","Green","2","https://classicdb.ch/?item=20862","2017.12.24"
"Shaucks","Qiraji Lord's Insignia","ffffffff","2","White","1","https://classicdb.ch/?item=21229","2017.12.24"
"Shaucks","Silver Scarab","ff1eff00","2","Green","2","https://classicdb.ch/?item=20860","2017.12.24"
"Shaucks","Ivory Scarab","ff1eff00","2","Green","2","https://classicdb.ch/?item=20865","2017.12.24"
"Shaucks","Bone Scarab","ff1eff00","3","Green","2","https://classicdb.ch/?item=20864","2017.12.24"
"Shaucks","Girdle of Prophecy","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16817","2017.09.17"
"Shaucks","Bronze Scarab","ff1eff00","2","Green","2","https://classicdb.ch/?item=20861","2017.12.24"
