"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Shrin","Ancient Qiraji Artifact","ffffffff","2","White","1","https://classicdb.ch/?item=21230","2018.02.11"
"Shrin","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2017.12.10"
"Shrin","Powerful Mojo","ffffffff","1","White","1","https://classicdb.ch/?item=12804","2017.09.22"
"Shrin","Rugged Leather","ffffffff","1","White","1","https://classicdb.ch/?item=8170","2017.09.27"
"Shrin","Powerful Mojo","ffffffff","1","White","1","https://classicdb.ch/?item=12804","2017.11.17"
"Shrin","Father Flame","ff1eff00","1","Green","2","https://classicdb.ch/?item=13371","2017.09.22"
"Shrin","Major Mana Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13444","2017.09.27"
"Shrin","Thick Cloak","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3964","2017.09.22"
"Shrin","Runecloth","ffffffff","2","White","1","https://classicdb.ch/?item=14047","2017.09.22"
"Shrin","Guide: Multi-Shot V","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21304","2017.12.26"
"Shrin","Dragonstalker's Spaulders","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16937","2017.11.16"
"Shrin","Overlinked Chain Armor","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4007","2017.09.22"
"Shrin","Onyxia Hide Backpack","ff1eff00","1","Green","2","https://classicdb.ch/?item=17966","2017.10.01"
"Shrin","Runecloth","ffffffff","2","White","1","https://classicdb.ch/?item=14047","2017.09.18"
"Shrin","Encrypted Twilight Text","ffffffff","2","White","1","https://classicdb.ch/?item=20404","2017.09.18"
"Shrin","Rugged Leather","ffffffff","5","White","1","https://classicdb.ch/?item=8170","2017.09.29"
"Shrin","Qiraji Lord's Insignia","ffffffff","4","White","1","https://classicdb.ch/?item=21229","2018.01.25"
"Shrin","Guide: Serpent Sting IX","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21306","2017.12.22"
"Shrin","Twill Pants","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3949","2017.09.22"
"Shrin","Primal Tiger Leather","ffffffff","1","White","1","https://classicdb.ch/?item=19768","2017.09.29"
"Shrin","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.11.17"
"Shrin","Giantstalker's Breastplate","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16845","2017.10.01"
"Shrin","Rugged Hide","ffffffff","2","White","1","https://classicdb.ch/?item=8171","2017.09.29"
"Shrin","Thick Leather","ffffffff","1","White","1","https://classicdb.ch/?item=4304","2017.09.29"
"Shrin","Sayge's Fortune #28","ffffffff","1","White","1","https://classicdb.ch/?item=19453","2017.10.05"
"Shrin","Roasted Quail","ffffffff","5","White","1","https://classicdb.ch/?item=8952","2018.01.28"
"Shrin","Punctured Voodoo Doll","ff1eff00","1","Green","2","https://classicdb.ch/?item=19816","2017.11.17"
"Shrin","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2018.01.28"
"Shrin","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2018.01.11"
"Shrin","Qiraji Lord's Insignia","ffffffff","5","White","1","https://classicdb.ch/?item=21229","2018.02.11"
"Shrin","Zulian Mudskunk","ffffffff","2","White","1","https://classicdb.ch/?item=19975","2017.11.17"
"Shrin","Major Healing Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13446","2017.09.22"
"Shrin","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2018.01.07"
"Shrin","Zulian Mudskunk","ffffffff","1","White","1","https://classicdb.ch/?item=19975","2017.09.29"
"Shrin","Morrowgrain","ffffffff","1","White","1","https://classicdb.ch/?item=11040","2017.11.23"
"Shrin","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2018.01.05"
"Shrin","Crystal Unlocking Mechanism","ffffffff","1","White","1","https://classicdb.ch/?item=20465","2018.01.04"
"Shrin","Runecloth","ffffffff","9","White","1","https://classicdb.ch/?item=14047","2017.12.04"
"Shrin","Major Mana Potion","ffffffff","2","White","1","https://classicdb.ch/?item=13444","2017.12.04"
"Shrin","Rugged Leather","ffffffff","3","White","1","https://classicdb.ch/?item=8170","2017.10.02"
"Shrin","Scroll of Protection IV","ffffffff","1","White","1","https://classicdb.ch/?item=10305","2017.12.04"
"Shrin","Scroll of Strength IV","ffffffff","1","White","1","https://classicdb.ch/?item=10310","2017.12.04"
"Shrin","Roasted Quail","ffffffff","6","White","1","https://classicdb.ch/?item=8952","2017.12.21"
"Shrin","Ancient Qiraji Artifact","ffffffff","3","White","1","https://classicdb.ch/?item=21230","2018.01.18"
"Shrin","Roasted Quail","ffffffff","11","White","1","https://classicdb.ch/?item=8952","2017.11.26"
"Shrin","Roasted Quail","ffffffff","2","White","1","https://classicdb.ch/?item=8952","2018.01.21"
"Shrin","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2017.12.14"
"Shrin","Primal Hakkari Stanchion","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19718","2018.01.23"
"Shrin","Dried King Bolete","ffffffff","2","White","1","https://classicdb.ch/?item=8948","2017.12.04"
"Shrin","Pattern: Runic Leather Pants","ff1eff00","1","Green","2","https://classicdb.ch/?item=15765","2017.12.03"
"Shrin","Morning Glory Dew","ffffffff","2","White","1","https://classicdb.ch/?item=8766","2017.12.28"
"Shrin","Prestor's Talisman of Connivery","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19377","2017.09.21"
"Shrin","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2017.12.03"
"Shrin","Nightcrawlers","ffffffff","2","White","1","https://classicdb.ch/?item=6530","2017.12.04"
"Shrin","Ichor of Undeath","ffffffff","2","White","1","https://classicdb.ch/?item=7972","2017.12.04"
"Shrin","Of Love and Family","ffffffff","1","White","1","https://classicdb.ch/?item=14679","2017.12.04"
"Shrin","Scroll of Strength IV","ffffffff","1","White","1","https://classicdb.ch/?item=10310","2017.10.05"
"Shrin","Rugged Leather","ffffffff","1","White","1","https://classicdb.ch/?item=8170","2017.09.22"
"Shrin","Rugged Leather","ffffffff","3","White","1","https://classicdb.ch/?item=8170","2017.12.17"
"Shrin","Qiraji Lord's Insignia","ffffffff","3","White","1","https://classicdb.ch/?item=21229","2018.01.18"
"Shrin","Dragonstalker's Breastplate","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16942","2017.12.21"
"Shrin","Roasted Quail","ffffffff","5","White","1","https://classicdb.ch/?item=8952","2017.12.28"
"Shrin","Alterac Swiss","ffffffff","5","White","1","https://classicdb.ch/?item=8932","2017.12.04"
"Shrin","Major Healing Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13446","2017.12.04"
"Shrin","Rugged Leather","ffffffff","7","White","1","https://classicdb.ch/?item=8170","2017.09.22"
"Shrin","Twill Bracers","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3946","2017.09.22"
"Shrin","Roasted Quail","ffffffff","5","White","1","https://classicdb.ch/?item=8952","2017.12.07"
"Shrin","Silithid Carapace Fragment","ffffffff","1","White","1","https://classicdb.ch/?item=20384","2017.11.28"
"Shrin","Stratholme Holy Water","ffffffff","3","White","1","https://classicdb.ch/?item=13180","2017.12.04"
"Shrin","Morning Glory Dew","ffffffff","4","White","1","https://classicdb.ch/?item=8766","2017.12.04"
"Shrin","Ogre Tannin","ff1eff00","1","Green","2","https://classicdb.ch/?item=18240","2017.11.30"
"Shrin","Seal of Jin","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19898","2018.02.09"
"Shrin","Thick Leather","ffffffff","2","White","1","https://classicdb.ch/?item=4304","2017.09.22"
"Shrin","Greater Mana Potion","ffffffff","3","White","1","https://classicdb.ch/?item=6149","2017.12.04"
"Shrin","Silithid Chitin","ffffffff","5","White","1","https://classicdb.ch/?item=20498","2017.11.28"
"Shrin","Ancient Qiraji Artifact","ffffffff","1","White","1","https://classicdb.ch/?item=21230","2018.01.04"
"Shrin","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.09.22"
"Shrin","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2017.12.07"
"Shrin","Smooth Cloak","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3972","2017.12.04"
"Shrin","Ancient Qiraji Artifact","ffffffff","6","White","1","https://classicdb.ch/?item=21230","2018.01.25"
"Shrin","Black Dragonscale","ffffffff","1","White","1","https://classicdb.ch/?item=15416","2017.09.22"
"Shrin","Broken Silithid Chitin","ff9d9d9d","6","Grey","0","https://classicdb.ch/?item=20499","2017.11.28"
"Shrin","Superior Healing Potion","ffffffff","2","White","1","https://classicdb.ch/?item=3928","2017.12.04"
"Shrin","Crested Buckler","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3990","2017.12.04"
