"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Siilf","Jin'do's Evil Eye","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19885","2017.12.28"
"Siilf","Large Bat Fang","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=11403","2017.10.02"
"Siilf","Judgement Belt","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16952","2017.09.21"
"Siilf","Wicked Claw","ffffffff","2","White","1","https://classicdb.ch/?item=8146","2017.12.14"
"Siilf","Husk Fragment","ff9d9d9d","23","Grey","0","https://classicdb.ch/?item=6300","2017.12.12"
"Siilf","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.09.10"
"Siilf","Silithid Carapace Fragment","ffffffff","112","White","1","https://classicdb.ch/?item=20384","2017.12.12"
"Siilf","Qiraji Lord's Insignia","ffffffff","4","White","1","https://classicdb.ch/?item=21229","2018.01.25"
"Siilf","Primal Hakkari Shawl","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19721","2017.12.04"
"Siilf","Hand of Gehennas","ffffffff","1","White","1","https://classicdb.ch/?item=17331","2017.10.15"
"Siilf","Primalist's Band","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19920","2017.12.04"
"Siilf","Lawbringer Legplates","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16855","2017.10.08"
"Siilf","Rejuvenating Gem","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19395","2018.01.21"
"Siilf","Hand of Lucifron","ffffffff","1","White","1","https://classicdb.ch/?item=17329","2017.10.15"
"Siilf","Heart of Hakkar","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19802","2017.10.10"
"Siilf","Shard of the Scale","ffa335ee","1","Epic","4","https://classicdb.ch/?item=17064","2017.12.17"
"Siilf","Lawbringer Spaulders","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16856","2017.10.08"
"Siilf","The Untamed Blade","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19334","2017.10.05"
"Siilf","Ancient Qiraji Artifact","ffffffff","1","White","1","https://classicdb.ch/?item=21230","2018.01.04"
"Siilf","Malistar's Defender","ffa335ee","1","Epic","4","https://classicdb.ch/?item=17106","2017.11.19"
"Siilf","Qiraji Lord's Insignia","ffffffff","4","White","1","https://classicdb.ch/?item=21229","2018.01.18"
"Siilf","Boots of the Redeemed Prophecy","ffa335ee","1","Epic","4","https://classicdb.ch/?item=21704","2018.01.25"
"Siilf","Judgement Crown","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16955","2017.09.17"
"Siilf","Aquamarine","ff1eff00","1","Green","2","https://classicdb.ch/?item=7909","2017.12.12"
"Siilf","Judgement Spaulders","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16953","2017.10.12"
"Siilf","Helm of the Lifegiver","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18870","2018.02.01"
"Siilf","Zulian Stone Axe","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19900","2017.10.02"
"Siilf","Glowstar Rod of the Eagle","ff1eff00","1","Green","2","https://classicdb.ch/?item=15281","2017.12.12"
"Siilf","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.10.06"
