"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Sillinhaju","Fang of the Faceless","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19859","2018.01.02"
"Sillinhaju","Nightslayer Boots","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16824","2017.12.14"
"Sillinhaju","Nightshade Helmet of the Whale","ff1eff00","1","Green","2","https://classicdb.ch/?item=10226","2018.01.02"
"Sillinhaju","Scroll of Intellect IV","ffffffff","1","White","1","https://classicdb.ch/?item=10308","2017.12.19"
"Sillinhaju","Rugged Leather","ffffffff","1","White","1","https://classicdb.ch/?item=8170","2017.12.22"
"Sillinhaju","Ancient Qiraji Artifact","ffffffff","1","White","1","https://classicdb.ch/?item=21230","2018.01.04"
"Sillinhaju","Primal Hakkari Kossack","ffa335ee","2","Epic","4","https://classicdb.ch/?item=19723","2018.01.30"
"Sillinhaju","Rugged Hide","ffffffff","2","White","1","https://classicdb.ch/?item=8171","2017.12.19"
"Sillinhaju","Perdition's Blade","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18816","2018.01.21"
"Sillinhaju","Blue Dragonscale","ffffffff","1","White","1","https://classicdb.ch/?item=15415","2017.12.19"
"Sillinhaju","Green Dragonscale","ffffffff","1","White","1","https://classicdb.ch/?item=15412","2017.12.19"
"Sillinhaju","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.12.19"
"Sillinhaju","Red Dragonscale","ffffffff","1","White","1","https://classicdb.ch/?item=15414","2017.12.19"
"Sillinhaju","Channeler's Head","ffffffff","5","White","1","https://classicdb.ch/?item=19881","2018.01.02"
"Sillinhaju","Rugged Hide","ffffffff","1","White","1","https://classicdb.ch/?item=8171","2017.12.17"
"Sillinhaju","Black Dragonscale","ffffffff","3","White","1","https://classicdb.ch/?item=15416","2017.12.19"
"Sillinhaju","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2018.01.02"
"Sillinhaju","Gutgore Ripper","ffa335ee","1","Epic","4","https://classicdb.ch/?item=17071","2017.12.10"
"Sillinhaju","Rugged Leather","ffffffff","4","White","1","https://classicdb.ch/?item=8170","2017.12.17"
"Sillinhaju","Rugged Leather","ffffffff","14","White","1","https://classicdb.ch/?item=8170","2017.12.19"
"Sillinhaju","Crochet Boots","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3937","2017.12.19"
"Sillinhaju","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2018.01.30"
"Sillinhaju","Major Healing Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13446","2018.01.30"
"Sillinhaju","Thick Leather","ffffffff","1","White","1","https://classicdb.ch/?item=4304","2017.12.17"
"Sillinhaju","Primal Bat Leather","ffffffff","1","White","1","https://classicdb.ch/?item=19767","2018.01.23"
"Sillinhaju","Thick Leather","ffffffff","1","White","1","https://classicdb.ch/?item=4304","2018.01.23"
"Sillinhaju","Yellow Qiraji Resonating Crystal","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21324","2018.01.25"
"Sillinhaju","Thick Silithid Chestguard","ffa335ee","1","Epic","4","https://classicdb.ch/?item=21467","2017.12.29"
"Sillinhaju","Aged Core Leather Gloves","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18823","2017.12.28"
"Sillinhaju","Cloak of Firemaw","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19398","2017.12.28"
"Sillinhaju","Boots of the Shadow Flame","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19381","2018.01.28"
"Sillinhaju","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2018.01.23"
"Sillinhaju","Bloodfang Belt","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16910","2018.01.21"
"Sillinhaju","Large Bat Fang","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=11403","2018.01.23"
"Sillinhaju","Evil Bat Eye","ffffffff","1","White","1","https://classicdb.ch/?item=11404","2018.01.05"
"Sillinhaju","Nightslayer Shoulder Pads","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16823","2017.12.28"
"Sillinhaju","Heavy Silithid Husk","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=21225","2017.12.26"
"Sillinhaju","Ancient Qiraji Artifact","ffffffff","7","White","1","https://classicdb.ch/?item=21230","2018.01.25"
"Sillinhaju","Dragonfang Blade","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19346","2018.01.11"
"Sillinhaju","Qiraji Regal Drape","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20889","2017.12.26"
"Sillinhaju","Qiraji Lord's Insignia","ffffffff","4","White","1","https://classicdb.ch/?item=21229","2018.01.18"
"Sillinhaju","Ancient Qiraji Artifact","ffffffff","6","White","1","https://classicdb.ch/?item=21230","2018.01.18"
"Sillinhaju","Taut Dragonhide Shoulderpads","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19389","2017.12.28"
"Sillinhaju","Head of Nefarian","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19003","2018.01.14"
"Sillinhaju","Ancient Armor Fragment","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=21224","2017.12.26"
"Sillinhaju","Qiraji Lord's Insignia","ffffffff","4","White","1","https://classicdb.ch/?item=21229","2018.01.25"
"Sillinhaju","Rugged Leather","ffffffff","8","White","1","https://classicdb.ch/?item=8170","2018.01.23"
"Sillinhaju","Armored Chitin","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=21222","2017.12.26"
