"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Sodanickel","Ripped Wing Webbing","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4460","2017.09.20"
"Sodanickel","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2017.12.14"
"Sodanickel","Scroll of Protection IV","ffffffff","1","White","1","https://classicdb.ch/?item=10305","2017.12.14"
"Sodanickel","Black Dragonscale","ffffffff","1","White","1","https://classicdb.ch/?item=15416","2017.09.10"
"Sodanickel","Dormant Wind Kissed Blade","ffff8000","1","Legendary","5","https://classicdb.ch/?item=19018","2018.02.04"
"Sodanickel","Scroll of Strength IV","ffffffff","1","White","1","https://classicdb.ch/?item=10310","2018.02.08"
"Sodanickel","Solid Stone","ffffffff","4","White","1","https://classicdb.ch/?item=7912","2018.02.08"
"Sodanickel","Scroll of Stamina IV","ffffffff","1","White","1","https://classicdb.ch/?item=10307","2018.02.08"
"Sodanickel","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2017.09.20"
"Sodanickel","Eternal Chestguard of Stamina","ff1eff00","1","Green","2","https://classicdb.ch/?item=14328","2018.02.08"
"Sodanickel","Plans: Radiant Boots","ff1eff00","1","Green","2","https://classicdb.ch/?item=12697","2017.12.29"
"Sodanickel","Solid Stone","ffffffff","5","White","1","https://classicdb.ch/?item=7912","2018.02.01"
"Sodanickel","Ancient Qiraji Artifact","ffffffff","4","White","1","https://classicdb.ch/?item=21230","2018.01.25"
"Sodanickel","Coal","ffffffff","1","White","1","https://classicdb.ch/?item=3857","2018.02.08"
"Sodanickel","Breastplate of Wrath","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16966","2018.02.08"
"Sodanickel","Homemade Cherry Pie","ffffffff","1","White","1","https://classicdb.ch/?item=8950","2017.10.16"
"Sodanickel","Blue Qiraji Resonating Crystal","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21218","2018.01.04"
"Sodanickel","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2017.12.07"
"Sodanickel","Formula: Enchant Boots - Greater Agility","ff1eff00","1","Green","2","https://classicdb.ch/?item=16245","2018.01.18"
"Sodanickel","Polished Obsidian Pauldrons","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21805","2018.01.19"
"Sodanickel","Ancient Qiraji Artifact","ffffffff","1","White","1","https://classicdb.ch/?item=21230","2018.01.04"
"Sodanickel","Primal Hakkari Aegis","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19724","2018.02.09"
"Sodanickel","Orb of Deception","ff0070dd","1","Blue","3","https://classicdb.ch/?item=1973","2017.12.07"
"Sodanickel","Essence of the Firelord","ffff8000","1","Legendary","5","https://classicdb.ch/?item=19017","2018.02.01"
"Sodanickel","Crossbow of Imminent Doom","ffa335ee","1","Epic","4","https://classicdb.ch/?item=21459","2018.01.19"
"Sodanickel","Wicked Claw","ffffffff","1","White","1","https://classicdb.ch/?item=8146","2017.12.03"
"Sodanickel","Evil Bat Eye","ffffffff","1","White","1","https://classicdb.ch/?item=11404","2018.02.09"
"Sodanickel","Ancient Qiraji Artifact","ffffffff","5","White","1","https://classicdb.ch/?item=21230","2018.01.18"
"Sodanickel","Sandstorm Cloak","ffa335ee","1","Epic","4","https://classicdb.ch/?item=21456","2018.02.09"
"Sodanickel","Dripping Spider Mandible","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4585","2018.02.09"
"Sodanickel","Coal","ffffffff","4","White","1","https://classicdb.ch/?item=3857","2017.12.03"
"Sodanickel","Qiraji Lord's Insignia","ffffffff","4","White","1","https://classicdb.ch/?item=21229","2018.01.18"
"Sodanickel","Bracelets of Wrath","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16959","2017.10.05"
"Sodanickel","Qiraji Lord's Insignia","ffffffff","4","White","1","https://classicdb.ch/?item=21229","2018.01.25"
"Sodanickel","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2018.01.21"
"Sodanickel","Schematic: Biznicks 247x128 Accurascope","ff0070dd","1","Blue","3","https://classicdb.ch/?item=18290","2018.01.28"
"Sodanickel","Large Trophy Paw","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4584","2017.11.10"
"Sodanickel","Scroll of Agility IV","ffffffff","1","White","1","https://classicdb.ch/?item=10309","2017.10.05"
"Sodanickel","Deeprock Salt","ffffffff","1","White","1","https://classicdb.ch/?item=8150","2018.01.28"
"Sodanickel","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2018.02.08"
"Sodanickel","Major Healing Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13446","2018.02.08"
"Sodanickel","Plans: Elemental Sharpening Stone","ff0070dd","1","Blue","3","https://classicdb.ch/?item=18264","2017.12.10"
"Sodanickel","Sayge's Fortune #29","ffffffff","1","White","1","https://classicdb.ch/?item=19454","2017.12.10"
"Sodanickel","Solid Stone","ffffffff","15","White","1","https://classicdb.ch/?item=7912","2018.01.21"
"Sodanickel","Bindings of the Windseeker","ffff8000","1","Legendary","5","https://classicdb.ch/?item=18564","2018.02.01"
"Sodanickel","Sayge's Fortune #22","ffffffff","1","White","1","https://classicdb.ch/?item=19255","2018.02.08"
"Sodanickel","Coal","ffffffff","2","White","1","https://classicdb.ch/?item=3857","2018.01.21"
"Sodanickel","Black Stone","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=21223","2018.01.19"
"Sodanickel","Major Healing Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13446","2018.01.21"
"Sodanickel","Red Wolf Meat","ffffffff","1","White","1","https://classicdb.ch/?item=12203","2017.11.10"
"Sodanickel","Dark Iron Residue","ffffffff","2","White","1","https://classicdb.ch/?item=18945","2017.11.10"
"Sodanickel","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2018.02.08"
"Sodanickel","Scroll of Spirit IV","ffffffff","1","White","1","https://classicdb.ch/?item=10306","2017.12.14"
"Sodanickel","White Spider Meat","ffffffff","1","White","1","https://classicdb.ch/?item=12205","2018.02.05"
"Sodanickel","Morning Glory Dew","ffffffff","2","White","1","https://classicdb.ch/?item=8766","2018.02.05"
"Sodanickel","Overlinked Chain Shoulderpads","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4006","2018.02.05"
"Sodanickel","Coal","ffffffff","1","White","1","https://classicdb.ch/?item=3857","2017.12.21"
"Sodanickel","Wicked Claw","ffffffff","1","White","1","https://classicdb.ch/?item=8146","2018.02.05"
"Sodanickel","Wicked Claw","ffffffff","1","White","1","https://classicdb.ch/?item=8146","2018.02.05"
"Sodanickel","Large Bat Fang","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=11403","2018.02.05"
"Sodanickel","Dark Iron Residue","ffffffff","8","White","1","https://classicdb.ch/?item=18945","2018.02.05"
"Sodanickel","Light Plate Pants","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=8085","2018.02.05"
"Sodanickel","Dark Iron Baby Booties","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=11944","2018.02.05"
"Sodanickel","False Documents","ff9d9d9d","3","Grey","0","https://classicdb.ch/?item=11941","2018.02.05"
"Sodanickel","Elemental Fire","ffffffff","1","White","1","https://classicdb.ch/?item=7068","2018.02.05"
"Sodanickel","Thick Spider's Silk","ffffffff","2","White","1","https://classicdb.ch/?item=4337","2018.02.05"
"Sodanickel","Sparkly Necklace","ff9d9d9d","5","Grey","0","https://classicdb.ch/?item=11940","2018.02.05"
"Sodanickel","Bindings of the Windseeker","ffff8000","1","Legendary","5","https://classicdb.ch/?item=18563","2017.10.22"
"Sodanickel","Hard Spider Leg Tip","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=1074","2018.02.05"
"Sodanickel","Slimy Ichor","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3676","2018.02.05"
"Sodanickel","Shiny Bracelet","ff9d9d9d","5","Grey","0","https://classicdb.ch/?item=11939","2018.02.05"
"Sodanickel","Large Trophy Paw","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4584","2018.02.05"
