"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Soopra","Peerless Shoulders of the Eagle","ff1eff00","1","Green","2","https://classicdb.ch/?item=15432","2017.10.01"
"Soopra","Lava Core","ff0070dd","7","Blue","3","https://classicdb.ch/?item=17011","2017.10.01"
"Soopra","Opal Ring of the Falcon","ff1eff00","1","Green","2","https://classicdb.ch/?item=11980","2017.10.01"
"Soopra","Lawbringer Bracers","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16857","2017.10.01"
"Soopra","Felheart Bracers","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16804","2017.10.01"
"Soopra","Essence of Fire","ff1eff00","2","Green","2","https://classicdb.ch/?item=7078","2017.10.01"
"Soopra","Core of Earth","ffffffff","1","White","1","https://classicdb.ch/?item=7075","2017.10.01"
"Soopra","Fiery Core","ff0070dd","6","Blue","3","https://classicdb.ch/?item=17010","2017.10.01"
"Soopra","Dragonstalker's Legguards","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16938","2017.09.17"
"Soopra","Vambraces of Prophecy","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16819","2017.10.01"
"Soopra","Giantstalker's Epaulets","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16848","2017.09.17"
"Soopra","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2017.09.21"
"Soopra","Cenarion Belt","ffa335ee","2","Epic","4","https://classicdb.ch/?item=16828","2017.10.01"
"Soopra","Prismatic Pendant of the Bear","ff1eff00","1","Green","2","https://classicdb.ch/?item=12048","2017.10.01"
"Soopra","Giantstalker's Belt","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16851","2017.09.17"
"Soopra","Master's Rod of the Eagle","ff1eff00","1","Green","2","https://classicdb.ch/?item=15942","2017.10.01"
"Soopra","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.09.18"
"Soopra","Scale of Onyxia","ff0070dd","1","Blue","3","https://classicdb.ch/?item=15410","2017.10.12"
"Soopra","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2017.09.28"
"Soopra","Crystal Unlocking Mechanism","ffffffff","1","White","1","https://classicdb.ch/?item=20465","2017.10.15"
"Soopra","Lord Alexander's Battle Axe","ff0070dd","1","Blue","3","https://classicdb.ch/?item=13003","2017.10.01"
"Soopra","Lifeless Stone","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4784","2017.09.17"
"Soopra","Horizon Choker","ff0070dd","1","Blue","3","https://classicdb.ch/?item=13085","2017.10.12"
"Soopra","Runecloth","ffffffff","2","White","1","https://classicdb.ch/?item=14047","2017.09.23"
"Soopra","Essence of Earth","ff1eff00","4","Green","2","https://classicdb.ch/?item=7076","2017.10.01"
"Soopra","Major Healing Potion","ffffffff","2","White","1","https://classicdb.ch/?item=13446","2017.09.28"
"Soopra","Roasted Quail","ffffffff","2","White","1","https://classicdb.ch/?item=8952","2017.09.28"
"Soopra","Elemental Earth","ffffffff","2","White","1","https://classicdb.ch/?item=7067","2017.10.01"
"Soopra","Plans: Mithril Scale Shoulders","ff0070dd","1","Blue","3","https://classicdb.ch/?item=7991","2017.10.01"
"Soopra","Heart of Fire","ffffffff","1","White","1","https://classicdb.ch/?item=7077","2017.10.01"
"Soopra","Core Leather","ffffffff","3","White","1","https://classicdb.ch/?item=17012","2017.10.15"
"Soopra","Core Leather","ffffffff","13","White","1","https://classicdb.ch/?item=17012","2017.10.01"
"Soopra","Elemental Fire","ffffffff","4","White","1","https://classicdb.ch/?item=7068","2017.10.01"
