"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Soupra","Lawbringer Chestguard","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16853","2017.07.02"
"Soupra","Gloves of Prophecy","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16812","2017.07.02"
"Soupra","Nightslayer Pants","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16822","2017.07.02"
"Soupra","Forked Tongue","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=6444","2018.01.23"
"Soupra","Robes of Prophecy","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16815","2017.08.13"
"Soupra","Heart of Hakkar","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19802","2017.09.19"
"Soupra","Cenarion Boots","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16829","2017.07.02"
"Soupra","Flamewaker Legplates","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18861","2017.08.13"
"Soupra","Felheart Slippers","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16803","2017.08.13"
"Soupra","Cenarion Spaulders","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16836","2017.07.02"
"Soupra","Circlet of Prophecy","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16813","2017.08.13"
"Soupra","Nemesis Skullcap","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16929","2017.07.02"
