"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Sparklecake","Dragonstalker's Greaves","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16941","2017.10.05"
"Sparklecake","Darkmoon Special Reserve","ffffffff","1","White","1","https://classicdb.ch/?item=19221","2017.10.02"
"Sparklecake","Primal Tiger Leather","ffffffff","1","White","1","https://classicdb.ch/?item=19768","2017.10.02"
"Sparklecake","Large Bat Fang","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=11403","2017.10.02"
"Sparklecake","Primal Hakkari Stanchion","ffa335ee","2","Epic","4","https://classicdb.ch/?item=19718","2017.10.06"
"Sparklecake","The Eye of Hakkar","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19856","2017.10.02"
"Sparklecake","Fang of the Faceless","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19859","2017.10.02"
"Sparklecake","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2017.10.06"
"Sparklecake","Rugged Leather","ffffffff","2","White","1","https://classicdb.ch/?item=8170","2017.10.05"
"Sparklecake","Bloodstained Legplates","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19887","2017.10.06"
"Sparklecake","Runecloth","ffffffff","3","White","1","https://classicdb.ch/?item=14047","2017.10.06"
"Sparklecake","Blood Scythe","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19727","2017.10.06"
"Sparklecake","Sabertooth Fang","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=4580","2017.10.06"
"Sparklecake","Black Dragonscale","ffffffff","1","White","1","https://classicdb.ch/?item=15416","2017.10.05"
"Sparklecake","Primal Tiger Leather","ffffffff","4","White","1","https://classicdb.ch/?item=19768","2017.10.06"
"Sparklecake","Rugged Leather","ffffffff","64","White","1","https://classicdb.ch/?item=8170","2017.10.02"
"Sparklecake","Blooddrenched Grips","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19869","2017.10.02"
"Sparklecake","Dripping Spider Mandible","ff9d9d9d","3","Grey","0","https://classicdb.ch/?item=4585","2017.10.02"
"Sparklecake","Rugged Hide","ffffffff","4","White","1","https://classicdb.ch/?item=8171","2017.10.02"
"Sparklecake","Patch of Fine Fur","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4581","2017.10.02"
"Sparklecake","Primal Bat Leather","ffffffff","1","White","1","https://classicdb.ch/?item=19767","2017.10.02"
"Sparklecake","Evil Bat Eye","ffffffff","2","White","1","https://classicdb.ch/?item=11404","2017.10.02"
"Sparklecake","Brilliant Scale","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=6826","2017.10.02"
"Sparklecake","Thick Leather","ffffffff","8","White","1","https://classicdb.ch/?item=4304","2017.10.02"
"Sparklecake","Zulian Tigerhide Cloak","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19907","2017.10.06"
"Sparklecake","Large Bat Fang","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=11403","2017.10.06"
"Sparklecake","Rugged Hide","ffffffff","1","White","1","https://classicdb.ch/?item=8171","2017.10.06"
"Sparklecake","Thick Leather","ffffffff","10","White","1","https://classicdb.ch/?item=4304","2017.10.06"
"Sparklecake","Channeler's Head","ffffffff","5","White","1","https://classicdb.ch/?item=19881","2017.10.06"
"Sparklecake","Brilliant Scale","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=6826","2017.10.06"
"Sparklecake","Evil Bat Eye","ffffffff","1","White","1","https://classicdb.ch/?item=11404","2017.10.06"
"Sparklecake","Primal Bat Leather","ffffffff","1","White","1","https://classicdb.ch/?item=19767","2017.10.06"
"Sparklecake","Mature Black Dragon Sinew","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18705","2017.10.01"
"Sparklecake","Dripping Spider Mandible","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4585","2017.10.06"
"Sparklecake","Sayge's Fortune #4","ffffffff","1","White","1","https://classicdb.ch/?item=19239","2017.10.05"
"Sparklecake","Rugged Leather","ffffffff","50","White","1","https://classicdb.ch/?item=8170","2017.10.06"
"Sparklecake","Ancient Petrified Leaf","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18703","2017.10.01"
