"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Sylvanuus","Blooddrenched Leggings","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19889","2017.10.02"
"Sylvanuus","Ancient Qiraji Artifact","ffffffff","6","White","1","https://classicdb.ch/?item=21230","2018.01.25"
"Sylvanuus","Runecloth","ffffffff","2","White","1","https://classicdb.ch/?item=14047","2017.09.27"
"Sylvanuus","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.12.17"
"Sylvanuus","Panther Hide Sack","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19914","2017.10.02"
"Sylvanuus","Massive Mojo","ffffffff","1","White","1","https://classicdb.ch/?item=19943","2017.12.10"
"Sylvanuus","Ancient Qiraji Artifact","ffffffff","1","White","1","https://classicdb.ch/?item=21230","2018.01.04"
"Sylvanuus","Powerful Mojo","ffffffff","1","White","1","https://classicdb.ch/?item=12804","2017.10.02"
"Sylvanuus","Nightslayer Gloves","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16826","2018.02.01"
"Sylvanuus","Qiraji Spiked Hilt","ffa335ee","1","Epic","4","https://classicdb.ch/?item=20886","2018.01.05"
"Sylvanuus","Primal Hakkari Kossack","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19723","2017.10.02"
"Sylvanuus","Qiraji Martial Drape","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20885","2018.01.05"
"Sylvanuus","Ring of Fury","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21477","2018.01.05"
"Sylvanuus","Qiraji Lord's Insignia","ffffffff","3","White","1","https://classicdb.ch/?item=21229","2018.01.25"
